Xe, Dieterici eos, values of parameters a and b are close to those in Table 12
Dieterici
   10. 0.001
temp  200.000 K
cm^3/mol torr
    1.66289400000000E+05    7.48596258080795E+01
    1.51172181818182E+05    8.23976721489656E+01
    1.38574500000000E+05    8.98374087218402E+01
    1.27914923076923E+05    9.73278575165478E+01
    1.18778142857143E+05    1.04754666919929E+02
    1.10859600000000E+05    1.12242772057167E+02
    1.03930875000000E+05    1.19697536186818E+02
    9.78172941176471E+04    1.27177940758407E+02
    9.23830000000000E+04    1.34626582445711E+02
    8.75207368421053E+04    1.42148305145929E+02
    8.31447000000000E+04    1.49547129915186E+02
    7.91854285714286E+04    1.57048600889401E+02
    7.55860909090909E+04    1.64513220766901E+02
    7.22997391304348E+04    1.71897036134028E+02
    6.92872500000000E+04    1.79281764441563E+02
    6.65157600000000E+04    1.86816016659270E+02
    6.39574615384615E+04    1.94132406320857E+02
    6.15886666666667E+04    2.01681671082192E+02
    5.93890714285714E+04    2.09057340427620E+02
    5.73411724137931E+04    2.16483336149249E+02
    5.54298000000000E+04    2.23838002212067E+02
    5.36417419354839E+04    2.31250531995549E+02
    5.19654375000000E+04    2.38725428542796E+02
    5.03907272727273E+04    2.46291421430628E+02
    4.89086470588235E+04    2.53564152582799E+02
    4.75112571428571E+04    2.60979393037938E+02
    4.61915000000000E+04    2.68367330580816E+02
    4.49430810810811E+04    2.75749214330204E+02
    4.37603684210526E+04    2.83168095050351E+02
    4.26383076923077E+04    2.90737905191755E+02
    4.15723500000000E+04    2.98159198542416E+02
    4.05583902439024E+04    3.05570116413410E+02
    3.95927142857143E+04    3.12871117905001E+02
    3.86719534883721E+04    3.20248650257917E+02
    3.77930454545455E+04    3.27858189873260E+02
    3.69532000000000E+04    3.35176447233346E+02
    3.61498695652174E+04    3.42515186378519E+02
    3.53807234042553E+04    3.50003251821909E+02
    3.46436250000000E+04    3.57354698497693E+02
    3.39366122448980E+04    3.64756604148523E+02
    3.32578800000000E+04    3.72160420308197E+02
    3.26057647058824E+04    3.79445601642450E+02
    3.19787307692308E+04    3.86816440297972E+02
    3.13753584905660E+04    3.93999687036251E+02
    3.07943333333333E+04    4.01408927023058E+02
    3.02344363636364E+04    4.08788262248427E+02
    2.96945357142857E+04    4.16081022648571E+02
    2.91735789473684E+04    4.23754292019228E+02
    2.86705862068966E+04    4.31105533674644E+02
    2.81846440677966E+04    4.38368752539376E+02
    2.77149000000000E+04    4.45595898673170E+02
