Volume,Observed Pressure,Calculated Pressure
0.207862,9987.3,9988.66
0.188965,10990.6,10986.3
0.173218,11979.2,11983.7
0.159894,12981.1,12980.8
0.148473,13976.1,13977.8
0.138575,14967.4,14974.5
0.129914,15978.3,15971
0.122272,16969.1,16967.2
0.115479,17964.6,17963.2
0.109401,18965.2,18959.1
0.103931,19962,19954.6
0.0989818,20951.1,20950
0.0944826,21949.7,21945.1
0.0903747,22944.3,22940
0.0866091,23933,23934.7
0.0831447,24936.1,24929.1
0.0799468,25923.1,25923.3
0.0769858,26904.2,26917.3
0.0742363,27901.6,27911.1
0.0716765,28918.9,28904.6
0.0692873,29906.9,29897.9
0.0670522,30900,30891
0.0649568,31880.5,31883.9
0.0629884,32882.3,32876.5
0.0611358,33862.7,33868.9
0.0593891,34856.1,34861.1
0.0577394,35855.3,35853
0.0561789,36856.8,36844.8
0.0547005,37845.4,37836.3
0.0532979,38814.5,38827.5
0.0519654,39834.5,39818.6
0.050698,40805.1,40809.4
0.0494909,41793.7,41800
0.0483399,42811.4,42790.3
0.0472413,43797.4,43780.5
0.0461915,44749.5,44770.4
0.0451873,45738.7,45760.1
0.0442259,46735.6,46749.5
0.0433045,47762.4,47738.8
0.0424208,48704.1,48727.8
0.0415724,49705.3,49716.6
0.0407572,50693.2,50705.1
0.0399734,51696.1,51693.4
0.0392192,52661.8,52681.5
0.0384929,53649.1,53669.4
0.037793,54676.5,54657.1
0.0371182,55617.2,55644.5
0.036467,56628.2,56631.7
0.0358382,57620.3,57618.7
0.0352308,58620.8,58605.4
0.0346436,59619.2,59591.9
0.0340757,60580.3,60578.2
0.0335261,61556.9,61564.3
0.0329939,62556.1,62550.1
0.0324784,63560.5,63535.7
0.0319787,64527.3,64521.1
0.0314942,65480.5,65506.3
0.0310241,66507.8,66491.2
0.0305679,67472,67475.9
0.0301249,68476.1,68460.4
0.0296945,69440.5,69444.6
0.0292763,70440,70428.7
0.0288697,71409,71412.5
0.0284742,72419.2,72396
0.0280894,73389.4,73379.4
0.0277149,74338.6,74362.5
0.0273502,75335.2,75345.4
0.026995,76309.8,76328.1
0.0266489,77285.6,77310.5
0.0263116,78278.1,78292.7
0.0259827,79291.6,79274.7
0.0256619,80295,80256.5
0.025349,81253.6,81238
0.0250436,82244.6,82219.4
0.0247454,83199.8,83200.4
0.0244543,84209.6,84181.3
0.02417,85178.1,85161.9
0.0238922,86144.2,86142.4
0.0236207,87132.1,87122.5
0.0233553,88106.4,88102.5
0.0230958,89122.6,89082.2
0.022842,90030.1,90061.7
0.0225937,91066.5,91041
0.0223507,92047.2,92020.1
0.022113,92964.8,92998.9
0.0218802,94006.2,93977.5
0.0216523,94992,94955.9
0.021429,95887,95934
0.0212104,96915.3,96911.9
0.0209961,97885.3,97889.6
0.0207862,98855.2,98867.1
0.0205804,99815.9,99844.4
0.0203786,100826,100821
0.0201808,101830,101798
0.0199867,102791,102775
0.0197964,103744,103751
0.0196096,104698,104727
0.0194263,105653,105703
0.0192465,106707,106679
0.0190699,107637,107654
0.0188965,108639,108629
0.0187263,109563,109604
0.0185591,110625,110579
0.0183948,111559,111554
0.0182335,112477,112528
0.0180749,113528,113502
0.0179191,114496,114476
0.017766,115445,115450
0.0176154,116433,116423
0.0174674,117408,117396
0.0173218,118332,118369
0.0171787,119372,119342
0.0170378,120353,120314
0.0168993,121243,121287
0.016763,122265,122259
0.0166289,123189,123231
0.016497,124244,124202
0.0163671,125234,125174
0.0162392,126158,126145
0.0161133,127075,127116
0.0159894,128060,128086
0.0158673,129018,129057
0.0157471,130008,130027
0.0156287,130989,130997
0.0155121,132031,131967
0.0153972,132929,132936
0.015284,133923,133906
0.0151724,134912,134875
0.0150624,135782,135844
0.0149541,136860,136812
0.0148473,137836,137781
0.014742,138814,138749
0.0146382,139675,139717
0.0145358,140743,140685
0.0144348,141643,141652
