Ammonia, Redlich-Kwong eos, values of parameters a and b are close to those in Table 12
rk
1. 0.001
temp  250.000 K
dm^3/mol mmHg
    2.07861750000000E+02    7.49111243433193E+01
    1.88965227272727E+02    8.24363010502715E+01
    1.73218125000000E+02    8.98515386854558E+01
    1.59893653846154E+02    9.73661758668435E+01
    1.48472678571429E+02    1.04829772636679E+02
    1.38574500000000E+02    1.12265082574572E+02
    1.29913593750000E+02    1.19847062091818E+02
    1.22271617647059E+02    1.27279116549940E+02
    1.15478750000000E+02    1.34745619389007E+02
    1.09400921052632E+02    1.42250737947643E+02
    1.03930875000000E+02    1.49727797895053E+02
    9.89817857142857E+01    1.57146299839368E+02
    9.44826136363636E+01    1.64637033403545E+02
    9.03746739130435E+01    1.72096933200405E+02
    8.66090625000000E+01    1.79512814721389E+02
    8.31447000000000E+01    1.87036412935964E+02
    7.99468269230769E+01    1.94439737106546E+02
    7.69858333333333E+01    2.01798437501656E+02
    7.42363392857143E+01    2.09280074409082E+02
    7.16764655172414E+01    2.16909955277098E+02
    6.92872500000000E+01    2.24320538978304E+02
    6.70521774193548E+01    2.31769940543167E+02
    6.49567968750000E+01    2.39123767067678E+02
    6.29884090909091E+01    2.46638015940749E+02
    6.11358088235294E+01    2.53991506772213E+02
    5.93890714285714E+01    2.61442796811278E+02
    5.77393750000000E+01    2.68937364856763E+02
    5.61788513513513E+01    2.76449379003187E+02
    5.47004605263158E+01    2.83864616730398E+02
    5.32978846153846E+01    2.91133642329585E+02
    5.19654375000000E+01    2.98783802353112E+02
    5.06979878048780E+01    3.06064166103548E+02
    4.94908928571429E+01    3.13479758341671E+02
    4.83399418604651E+01    3.21113047105007E+02
    4.72413068181818E+01    3.28508694028606E+02
    4.61915000000000E+01    3.35649516264038E+02
    4.51873369565217E+01    3.43069370858829E+02
    4.42259042553191E+01    3.50546442403539E+02
    4.33045312500000E+01    3.58248371403217E+02
    4.24207653061224E+01    3.65312012290805E+02
    4.15723500000000E+01    3.72821596371513E+02
    4.07572058823529E+01    3.80231569676368E+02
    3.99734134615385E+01    3.87753428564450E+02
    3.92191981132075E+01    3.94996756815585E+02
    3.84929166666667E+01    4.02402435101665E+02
    3.77930454545455E+01    4.10108438004081E+02
    3.71181696428571E+01    4.17164667917630E+02
    3.64669736842105E+01    4.24747401794023E+02
    3.58382327586207E+01    4.32189348147890E+02
    3.52308050847458E+01    4.39693102757788E+02
    3.46436250000000E+01    4.47181989773282E+02
    3.40756967213115E+01    4.54390570180685E+02
    3.35260887096774E+01    4.61716248201717E+02
    3.29939285714286E+01    4.69210518817532E+02
    3.24783984375000E+01    4.76743956671963E+02
    3.19787307692308E+01    4.83995971094315E+02
    3.14942045454545E+01    4.91145456915267E+02
    3.10241417910448E+01    4.98850779331190E+02
    3.05679044117647E+01    5.06082926867319E+02
    3.01248913043478E+01    5.13614197373714E+02
    2.96945357142857E+01    5.20848276565076E+02
    2.92763028169014E+01    5.28344883874730E+02
    2.88696875000000E+01    5.35612739907626E+02
    2.84742123287671E+01    5.43190293951649E+02
    2.80894256756757E+01    5.50467138451283E+02
    2.77149000000000E+01    5.57586561853844E+02
    2.73502302631579E+01    5.65062128720322E+02
    2.69950324675325E+01    5.72371783529651E+02
    2.66489423076923E+01    5.79691547988449E+02
    2.63116139240506E+01    5.87135957271474E+02
    2.59827187500000E+01    5.94737355661552E+02
    2.56619444444444E+01    6.02264020518196E+02
    2.53489939024390E+01    6.09453732175514E+02
    2.50435843373494E+01    6.16886954880141E+02
    2.47454464285714E+01    6.24051458065444E+02
    2.44543235294118E+01    6.31625387169121E+02
    2.41699709302326E+01    6.38890299354084E+02
    2.38921551724138E+01    6.46136304206621E+02
    2.36206534090909E+01    6.53546420359026E+02
    2.33552528089888E+01    6.60853924179890E+02
    2.30957500000000E+01    6.68476658439099E+02
    2.28419505494505E+01    6.75283079092347E+02
    2.25936684782609E+01    6.83057064383886E+02
    2.23507258064516E+01    6.90412637843653E+02
    2.21129521276596E+01    6.97295521962525E+02
    2.18801842105263E+01    7.05106425691620E+02
    2.16522656250000E+01    7.12500857869248E+02
    2.14290463917526E+01    7.19213691039404E+02
    2.12103826530612E+01    7.26926557200267E+02
    2.09961363636364E+01    7.34202102327308E+02
    2.07861750000000E+01    7.41477087683189E+02
    2.05803712871287E+01    7.48682644953970E+02
    2.03786029411765E+01    7.56261543244255E+02
    2.01807524271845E+01    7.63791072733765E+02
    1.99867067307692E+01    7.70996310543385E+02
    1.97963571428571E+01    7.78147454728559E+02
    1.96095990566038E+01    7.85300716983476E+02
    1.94263317757009E+01    7.92466366260913E+02
    1.92464583333333E+01    8.00367137048005E+02
    1.90698853211009E+01    8.07345870377466E+02
    1.88965227272727E+01    8.14861258176600E+02
    1.87262837837838E+01    8.21789017928852E+02
    1.85590848214286E+01    8.29755658025637E+02
    1.83948451327434E+01    8.36766672291442E+02
    1.82334868421053E+01    8.43646612173565E+02
    1.80749347826087E+01    8.51532499524779E+02
    1.79191163793103E+01    8.58791934443728E+02
    1.77659615384615E+01    8.65908029420496E+02
    1.76154025423729E+01    8.73319365785837E+02
    1.74673739495798E+01    8.80637273657403E+02
    1.73218125000000E+01    8.87564915996944E+02
    1.71786570247934E+01    8.95368156769863E+02
    1.70378483606557E+01    9.02721089387059E+02
    1.68993292682927E+01    9.09397568444018E+02
    1.67630443548387E+01    9.17066284199660E+02
    1.66289400000000E+01    9.23994080910858E+02
    1.64969642857143E+01    9.31905778617499E+02
    1.63670669291339E+01    9.39336598806391E+02
    1.62391992187500E+01    9.46266216637589E+02
    1.61133139534884E+01    9.53141383067774E+02
    1.59893653846154E+01    9.60531190668610E+02
    1.58673091603053E+01    9.67720565042341E+02
    1.57471022727273E+01    9.75142925398508E+02
    1.56287030075188E+01    9.82500265587306E+02
    1.55120708955224E+01    9.90313222463315E+02
    1.53971666666667E+01    9.97053762516286E+02
    1.52839522058824E+01    1.00450987919110E+03
    1.51723905109489E+01    1.01192593411935E+03
    1.50624456521739E+01    1.01844832646399E+03
    1.49540827338129E+01    1.02653370679281E+03
    1.48472678571429E+01    1.03386119624721E+03
    1.47419680851064E+01    1.04119191426053E+03
    1.46381514084507E+01    1.04765049770467E+03
    1.45357867132867E+01    1.05566234161434E+03
    1.44348437500000E+01    1.06241499997396E+03
    1.43352931034483E+01    1.06961196919975E+03
    1.42371061643836E+01    1.07718270826055E+03
    1.41402551020408E+01    1.08414962264448E+03
    1.40447128378378E+01    1.09103358829626E+03
    1.39504530201342E+01    1.09914803619195E+03
    1.38574500000000E+01    1.10624999800430E+03
    1.37656788079470E+01    1.11361667034708E+03
    1.36751151315789E+01    1.12077432461467E+03
    1.35857352941176E+01    1.12801290431853E+03
    1.34975162337662E+01    1.13493508796214E+03
    1.34104354838710E+01    1.14256530966783E+03
    1.33244711538462E+01    1.14939970522758E+03
    1.32396019108280E+01    1.15710699066673E+03
    1.31558069620253E+01    1.16420002907030E+03
    1.30730660377358E+01    1.17164121665828E+03
    1.29913593750000E+01    1.17842443154979E+03
    1.29106677018634E+01    1.18519134485223E+03
    1.28309722222222E+01    1.19331625891050E+03
