Volume,Observed Pressure,Calculated Pressure
0.108088,9995.39,9991.3
0.0540441,19965.3,19965.2
0.0360294,29925.9,29921.7
0.027022,39853.5,39860.8
0.0216176,49777.8,49782.6
0.0180147,59666.9,59686.9
0.0154412,69550,69574
0.013511,79465.9,79443.6
0.0120098,89288.3,89295.9
0.0108088,99148.4,99130.9
0.00982619,108985,108948
0.00900734,118695,118749
0.00831447,128594,128532
0.00772058,138231,138297
0.00720587,148038,148046
0.00675551,157717,157777
0.00635812,167458,167490
0.0060049,177242,177187
0.00568885,186807,186866
0.00540441,196526,196528
0.00514705,206133,206173
0.0049131,215727,215800
0.00469948,225383,225410
0.00450367,235062,235003
0.00432352,244549,244579
0.00415724,254239,254137
0.00400326,263697,263678
0.00386029,273312,273202
0.00372718,282709,282709
0.00360294,292162,292198
0.00348671,301634,301671
0.00337775,311081,311126
0.0032754,320464,320564
0.00317906,329975,329985
0.00308823,339312,339388
0.00300245,348650,348775
0.0029213,358218,358144
0.00284442,367587,367496
0.00277149,376962,376831
0.0027022,386119,386149
0.0026363,395281,395450
0.00257353,404936,404733
0.00251368,413936,414000
0.00245655,423382,423249
0.00240196,432489,432482
0.00234974,441908,441697
0.00229975,451066,450895
0.00225184,459873,460076
0.00220588,469236,469240
0.00216176,478425,478387
0.00211937,487597,487517
0.00207862,496694,496630
0.0020394,505660,505726
0.00200163,514672,514804
0.00196524,523925,523866
0.00193014,533150,532911
0.00189628,541727,541939
0.00186359,551033,550949
0.001832,560033,559943
0.00180147,568707,568920
0.00177194,577977,577879
0.00174336,587071,586822
0.00171568,595655,595748
0.00168888,604549,604657
0.00166289,613338,613549
0.0016377,622321,622424
0.00161326,631331,631282
0.00158953,640260,640123
0.00156649,648653,648947
0.00154412,658065,657754
0.00152237,666706,666545
0.00150122,675202,675318
0.00148066,684293,684075
0.00146065,692544,692814
0.00144117,701445,701537
0.00142221,710064,710243
0.00140374,718908,718932
0.00138574,727611,727604
0.0013682,736552,736260
0.0013511,745177,744898
0.00133442,753377,753520
0.00131815,762025,762125
0.00130227,770703,770713
0.00128676,778995,779284
0.00127162,787616,787839
0.00125684,796698,796376
0.00124239,805119,804897
0.00122827,813266,813401
0.00121447,822052,821889
0.00120098,829880,830359
0.00118778,838637,838813
0.00117487,847182,847250
0.00116224,855687,855671
0.00114987,864339,864074
0.00113777,872381,872461
0.00112592,880856,880831
0.00111431,889213,889185
0.00110294,897774,897521
0.0010918,906031,905842
0.00108088,913935,914145
