Volume,Observed Pressure,Calculated Pressure
0.0498868,49545,49552.5
0.0489086,50510.7,50534.4
0.0479681,51495.8,51516
0.047063,52484.4,52497.2
0.0461915,53496.6,53478.1
0.0453517,54432.5,54458.6
0.0445418,55442.2,55438.7
0.0437604,56415.8,56418.5
0.0430059,57387.9,57397.9
0.042277,58358.6,58376.9
0.0415724,59370.6,59355.6
0.0408908,60362.8,60334
0.0402313,61306.2,61312
0.0395927,62286.9,62289.6
0.0389741,63277.9,63266.9
0.0383745,64259.7,64243.8
0.037793,65228.5,65220.3
0.037229,66226.9,66196.5
0.0366815,67162.4,67172.4
0.0361499,68158,68147.8
0.0356334,69142.8,69123
0.0351316,70130.9,70097.7
0.0346436,71090.8,71072.1
0.0341691,72027,72046.2
0.0337073,72991.6,73019.9
0.0332579,74021.4,73993.2
0.0328203,74947.1,74966.2
0.032394,75944.7,75938.8
0.0319787,76940.6,76911.1
0.0315739,77845,77883
0.0311793,78887.9,78854.5
0.0307943,79831.1,79825.7
0.0304188,80773.6,80796.5
0.0300523,81788.4,81767
0.0296945,82753.1,82737.1
0.0293452,83706.7,83706.8
0.029004,84688.9,84676.2
0.0286706,85631,85645.3
0.0283448,86621.1,86614
0.0280263,87587.9,87582.3
0.0277149,88580.8,88550.2
0.0274103,89481.6,89517.8
0.0271124,90509.4,90485.1
0.0268209,91441.2,91452
0.0265355,92421.5,92418.5
0.0262562,93346,93384.7
0.0259827,94370,94350.5
0.0257149,95322.5,95316
0.0254525,96275.6,96281.1
0.0251954,97245.4,97245.8
0.0249434,98161.5,98210.2
0.0246964,99181,99174.2
0.0244543,100104,100138
0.0242169,101052,101101
0.023984,102043,102064
0.0237556,103041,103027
0.0235315,104025,103989
0.0233116,104983,104951
0.0230958,105862,105912
0.0228839,106907,106874
0.0226758,107796,107834
0.0224715,108843,108795
0.0222709,109799,109755
0.0220738,110705,110715
0.0218802,111676,111674
0.0216899,112624,112633
0.0215029,113596,113592
0.0213192,114572,114550
0.0211385,115482,115508
0.0209608,116477,116466
0.0207862,117416,117423
0.0206144,118349,118380
0.0204454,119362,119336
0.0202792,120345,120292
0.0201157,121264,121248
0.0199547,122147,122204
0.0197964,123113,123159
0.0196405,124067,124113
0.019487,125125,125068
0.019336,126011,126022
0.0191872,126950,126975
0.0190408,127948,127929
0.0188965,128928,128882
0.0187544,129867,129834
0.0186145,130734,130786
0.0184766,131681,131738
0.0183407,132701,132690
0.0182069,133686,133641
0.0180749,134555,134592
0.0179449,135570,135542
0.0178167,136433,136492
0.0176904,137450,137442
0.0175658,138456,138391
0.0174429,139363,139340
0.0173218,140319,140289
0.0172024,141285,141237
0.0170845,142155,142185
0.0169683,143145,143133
0.0168537,144109,144080
0.0167405,145071,145027
0.0166289,145920,145973
0.0165188,146913,146919
0.0164101,147806,147865
0.0163029,148838,148810
0.016197,149778,149756
0.0160925,150747,150700
0.0159894,151589,151645
0.0158875,152630,152589
0.015787,153506,153532
0.0156877,154470,154475
0.0155896,155461,155418
0.0154928,156325,156361
0.0153972,157296,157303
0.0153027,158208,158245
0.0152094,159244,159186
0.0151172,160165,160128
0.0150262,161019,161068
0.0149362,162018,162009
0.0148473,162950,162949
0.0147594,163833,163889
0.0146726,164774,164828
0.0145868,165687,165767
0.014502,166747,166705
0.0144182,167708,167644
0.0143353,168496,168582
0.0142534,169532,169519
0.0141724,170408,170456
0.0140923,171361,171393
0.0140132,172402,172330
0.0139349,173321,173266
0.0138575,174161,174202
0.0137809,175056,175137
0.0137052,176089,176072
0.0136303,177028,177007
0.0135562,177930,177941
0.0134829,178785,178875
0.0134104,179819,179809
0.0133387,180728,180742
0.0132678,181738,181675
0.0131976,182516,182607
0.0131281,183460,183539
0.0130594,184473,184471
0.0129914,185441,185403
0.012924,186410,186334
0.0128574,187309,187265
0.0127915,188134,188195
0.0127262,189104,189125
0.0126616,189972,190055
0.0125977,191074,190984
0.0125344,191873,191913
0.0124717,192900,192842
0.0124097,193766,193770
0.0123482,194696,194698
0.0122874,195590,195625
0.0122272,196626,196552
0.0121675,197419,197479
0.0121085,198457,198406
0.01205,199408,199332
0.011992,200291,200258
0.0119346,201136,201183
0.0118778,202159,202108
0.0118215,203116,203033
0.0117658,204048,203957
0.0117105,204883,204881
0.0116558,205769,205804
0.0116016,206709,206728
0.0115479,207693,207651
0.0114947,208600,208573
0.0114419,209489,209495
0.0113897,210471,210417
0.0113379,211286,211339
0.0112866,212302,212260
0.0112358,213199,213180
0.0111854,214195,214101
0.0111355,215019,215021
0.011086,215940,215940
0.0110369,216926,216860
0.0109883,217829,217779
0.0109401,218764,218697
0.0108923,219628,219615
0.010845,220606,220533
0.010798,221474,221451
0.0107515,222401,222368
0.0107053,223217,223285
0.0106596,224227,224201
0.0106142,225158,225117
0.0105692,226016,226033
0.0105246,226999,226948
0.0104804,227852,227863
0.0104366,228728,228778
0.0103931,229738,229692
0.01035,230706,230606
0.0103072,231608,231520
0.0102648,232474,232433
0.0102227,233278,233346
0.010181,234289,234258
0.0101396,235169,235171
0.0100985,236039,236082
0.0100578,236922,236994
0.0100174,237937,237905
0.00997736,238746,238816
0.00993761,239762,239726
0.00989818,240671,240636
0.00985906,241559,241546
0.00982024,242464,242455
0.00978173,243398,243364
0.00974352,244158,244272
0.00970561,245198,245181
0.00966799,246043,246089
0.00963066,247087,246996
0.00959362,247945,247903
0.00955686,248897,248810
0.00952039,249631,249716
0.00948419,250680,250622
0.00944826,251459,251528
0.00941261,252341,252433
0.00937722,253223,253338
0.0093421,254314,254243
0.00930724,255152,255147
0.00927264,256055,256051
0.0092383,256934,256955
0.00920421,257944,257858
0.00917037,258784,258761
0.00913678,259594,259663
0.00910343,260470,260566
0.00907033,261459,261467
0.00903747,262273,262369
0.00900484,263160,263270
0.00897245,264195,264170
0.00894029,265108,265071
0.00890836,265942,265971
0.00887666,266902,266870
0.00884518,267782,267770
0.00881393,268700,268669
0.00878289,269561,269567
0.00875207,270462,270465
0.00872147,271273,271363
0.00869108,272379,272261
0.00866091,273175,273158
0.00863094,274125,274055
0.00860118,274844,274951
0.00857162,275897,275847
0.00854226,276694,276743
0.00851311,277702,277638
0.00848415,278409,278533
0.00845539,279441,279428
0.00842683,280407,280322
0.00839845,281125,281216
0.00837027,282133,282109
0.00834228,282996,283003
0.00831447,283758,283895
0.00828685,284798,284788
0.00825941,285555,285680
0.00823215,286422,286572
0.00820507,287499,287463
0.00817817,288314,288354
0.00815144,289128,289245
0.00812489,290241,290135
0.00809851,290936,291025
0.0080723,291927,291915
0.00804626,292826,292804
0.00802039,293700,293693
0.00799468,294577,294582
0.00796914,295566,295470
0.00794376,296441,296358
0.00791854,297286,297245
0.00789348,298142,298132
0.00786858,298938,299019
0.00784384,299822,299905
0.00781925,300929,300791
0.00779482,301609,301677
0.00777053,302549,302562
0.0077464,303462,303447
0.00772242,304255,304332
0.00769858,305324,305216
0.0076749,306183,306100
0.00765135,306868,306984
0.00762795,307742,307867
0.0076047,308763,308750
0.00758158,309604,309632
0.00755861,310399,310514
0.00753577,311435,311396
0.00751308,312230,312277
0.00749051,313276,313158
0.00746809,314039,314039
0.00744579,314966,314919
0.00742363,315761,315799
0.00740161,316802,316679
0.00737971,317651,317558
0.00735794,318422,318437
0.0073363,319164,319316
