Volume,Observed Pressure,Calculated Pressure
0.166289,9980.44,9983.96
0.151172,10985.4,10980.6
0.138574,11977.3,11976.9
0.127915,12975.9,12972.9
0.118778,13966.1,13968.6
0.11086,14964.4,14963.9
0.103931,15958.3,15959
0.0978173,16955.6,16953.7
0.092383,17948.7,17948.1
0.0875207,18951.5,18942.2
0.0831447,19937.9,19935.9
0.0791854,20938,20929.3
0.0755861,21933.2,21922.5
0.0722997,22917.7,22915.3
0.0692872,23902.2,23907.7
0.0665158,24906.7,24899.9
0.0639575,25882.1,25891.7
0.0615887,26888.6,26883.3
0.0593891,27871.9,27874.5
0.0573412,28862,28865.4
0.0554298,29842.5,29855.9
0.0536417,30830.8,30846.2
0.0519654,31827.4,31836.1
0.0503907,32836.1,32825.7
0.0489086,33805.7,33815
0.0475113,34794.3,34804
0.0461915,35779.3,35792.6
0.0449431,36763.4,36781
0.0437604,37752.5,37769
0.0426383,38761.8,38756.7
0.0415723,39751.2,39744.1
0.0405584,40739.2,40731.1
0.0395927,41712.6,41717.9
0.038672,42696.2,42704.3
0.037793,43710.7,43690.4
0.0369532,44686.4,44676.2
0.0361499,45664.8,45661.7
0.0353807,46663.1,46646.9
0.0346436,47643.2,47631.7
0.0339366,48630.1,48616.2
0.0332579,49617.2,49600.4
0.0326058,50588.4,50584.3
0.0319787,51571.1,51567.9
0.0313754,52528.8,52551.2
0.0307943,53516.6,53534.1
0.0302344,54500.5,54516.7
0.0296945,55472.8,55499.1
0.0291736,56495.8,56481
0.0286706,57475.9,57462.7
0.0281846,58444.2,58444.1
0.0277149,59407.7,59425.1
0.0272606,60420.8,60405.9
0.0268209,61413.2,61386.3
0.0263951,62353.7,62366.4
0.0259827,63346.2,63346.1
0.025583,64296.1,64325.6
0.0251954,65286,65304.8
0.0248193,66284.1,66283.6
0.0244543,67273,67262.1
0.0240999,68228.6,68240.3
0.0237556,69220.1,69218.2
0.023421,70162.7,70195.8
0.0230957,71138.3,71173
0.0227794,72115.3,72150
0.0224715,73147,73126.6
0.0221719,74092.2,74102.9
0.0218802,75103.6,75078.9
0.021596,76070.9,76054.6
0.0213192,76994.2,77029.9
0.0210493,77984.8,78005
