Volume,Observed Pressure,Calculated Pressure
0.108088,9995.39,9991.30
0.540441E-1,19965.3,19965.2
0.360294E-1,29925.9,29921.7
0.270220E-1,39853.5,39860.8
0.216176E-1,49777.8,49782.6
0.180147E-1,59666.9,59686.9
0.154412E-1,69550.0,69574.0
0.135110E-1,79465.9,79443.6
0.120098E-1,89288.3,89295.9
0.108088E-1,99148.4,99130.9
0.982619E-2,108985.,108948.
0.900734E-2,118695.,118749.
0.831447E-2,128594.,128532.
0.772058E-2,138231.,138297.
0.720587E-2,148038.,148046.
0.675551E-2,157717.,157777.
0.635812E-2,167458.,167490.
0.600490E-2,177242.,177187.
0.568885E-2,186807.,186866.
0.540441E-2,196526.,196528.
0.514705E-2,206133.,206173.
0.491310E-2,215727.,215800.
0.469948E-2,225383.,225410.
0.450367E-2,235062.,235003.
0.432352E-2,244549.,244579.
0.415723E-2,254239.,254137.
0.400326E-2,263697.,263678.
0.386029E-2,273312.,273202.
0.372718E-2,282709.,282709.
0.360294E-2,292162.,292198.
0.348671E-2,301634.,301671.
0.337775E-2,311081.,311126.
0.327540E-2,320464.,320564.
0.317906E-2,329975.,329985.
0.308823E-2,339312.,339388.
0.300245E-2,348650.,348775.
0.292130E-2,358218.,358144.
0.284442E-2,367587.,367496.
0.277149E-2,376962.,376831.
0.270220E-2,386119.,386149.
0.263630E-2,395281.,395450.
0.257353E-2,404936.,404733.
0.251368E-2,413936.,414000.
0.245655E-2,423382.,423249.
0.240196E-2,432489.,432482.
0.234974E-2,441908.,441697.
0.229975E-2,451066.,450895.
0.225184E-2,459873.,460076.
0.220588E-2,469236.,469240.
0.216176E-2,478425.,478387.
0.211937E-2,487597.,487517.
0.207862E-2,496694.,496630.
0.203940E-2,505660.,505726.
0.200163E-2,514672.,514804.
0.196524E-2,523925.,523866.
0.193014E-2,533150.,532911.
0.189628E-2,541727.,541939.
0.186359E-2,551033.,550949.
0.183200E-2,560033.,559943.
0.180147E-2,568707.,568920.
0.177194E-2,577977.,577879.
0.174336E-2,587071.,586822.
0.171568E-2,595655.,595748.
0.168888E-2,604549.,604657.
0.166289E-2,613338.,613549.
0.163770E-2,622321.,622424.
0.161326E-2,631331.,631282.
0.158953E-2,640260.,640123.
0.156649E-2,648653.,648947.
0.154412E-2,658065.,657754.
0.152237E-2,666706.,666545.
0.150122E-2,675202.,675318.
0.148066E-2,684293.,684075.
0.146065E-2,692544.,692814.
0.144117E-2,701445.,701537.
0.142221E-2,710064.,710243.
0.140374E-2,718908.,718932.
0.138574E-2,727611.,727604.
0.136820E-2,736552.,736260.
0.135110E-2,745177.,744898.
0.133442E-2,753377.,753520.
0.131815E-2,762025.,762125.
0.130227E-2,770703.,770713.
0.128676E-2,778995.,779284.
0.127162E-2,787616.,787839.
0.125684E-2,796698.,796376.
0.124239E-2,805119.,804897.
0.122827E-2,813266.,813401.
0.121447E-2,822052.,821889.
0.120098E-2,829880.,830359.
0.118778E-2,838637.,838813.
0.117487E-2,847182.,847250.
0.116224E-2,855687.,855671.
0.114987E-2,864339.,864074.
0.113777E-2,872381.,872461.
0.112592E-2,880856.,880831.
0.111431E-2,889213.,889185.
0.110294E-2,897774.,897521.
0.109180E-2,906031.,905842.
0.108088E-2,913935.,914145.
