Ar, vdW eos, values of parameters a and b are close to those in Table 12
vdW
10. 0.001
temp  130.000 K
m^3/mol pa
    1.08088110000000E-01    9.99538762522963E+03
    5.40440550000000E-02    1.99653125543371E+04
    3.60293700000000E-02    2.99259020963550E+04
    2.70220275000000E-02    3.98535057502300E+04
    2.16176220000000E-02    4.97777690877801E+04
    1.80146850000000E-02    5.96668679380589E+04
    1.54411585714286E-02    6.95500237075953E+04
    1.35110137500000E-02    7.94659492082504E+04
    1.20097900000000E-02    8.92883376627322E+04
    1.08088110000000E-02    9.91484161132989E+04
    9.82619181818182E-03    1.08985264213651E+05
    9.00734250000000E-03    1.18695111483133E+05
    8.31447000000000E-03    1.28594269722657E+05
    7.72057928571429E-03    1.38231470458939E+05
    7.20587400000000E-03    1.48037954837302E+05
    6.75550687500000E-03    1.57717310461741E+05
    6.35812411764706E-03    1.67458000007780E+05
    6.00489500000000E-03    1.77242070652728E+05
    5.68884789473684E-03    1.86806729874211E+05
    5.40440550000000E-03    1.96525924604086E+05
    5.14705285714286E-03    2.06133436519750E+05
    4.91309590909091E-03    2.15726511321113E+05
    4.69948304347826E-03    2.25382937414753E+05
    4.50367125000000E-03    2.35061988180747E+05
    4.32352440000000E-03    2.44549431244396E+05
    4.15723500000000E-03    2.54238929280671E+05
    4.00326333333333E-03    2.63697341843124E+05
    3.86028964285714E-03    2.73311804966485E+05
    3.72717620689655E-03    2.82709307186170E+05
    3.60293700000000E-03    2.92162302546932E+05
    3.48671322580645E-03    3.01633504691403E+05
    3.37775343750000E-03    3.11081201757019E+05
    3.27539727272727E-03    3.20463672424421E+05
    3.17906205882353E-03    3.29974743319232E+05
    3.08823171428571E-03    3.39312222955363E+05
    3.00244750000000E-03    3.48650402804495E+05
    2.92130027027027E-03    3.58217805879070E+05
    2.84442394736842E-03    3.67587318241978E+05
    2.77149000000000E-03    3.76961707359803E+05
    2.70220275000000E-03    3.86118551146690E+05
    2.63629536585366E-03    3.95280949713969E+05
    2.57352642857143E-03    4.04935575280933E+05
    2.51367697674419E-03    4.13936151657912E+05
    2.45654795454545E-03    4.23382373230882E+05
    2.40195800000000E-03    4.32489220920334E+05
    2.34974152173913E-03    4.41908226837957E+05
    2.29974702127660E-03    4.51066328606197E+05
    2.25183562500000E-03    4.59873402191876E+05
    2.20587979591837E-03    4.69235704621530E+05
    2.16176220000000E-03    4.78424709969576E+05
    2.11937470588235E-03    4.87597370716981E+05
    2.07861750000000E-03    4.96694177922814E+05
    2.03939830188679E-03    5.05660419051867E+05
    2.00163166666667E-03    5.14671641617517E+05
    1.96523836363636E-03    5.23924975686591E+05
    1.93014482142857E-03    5.33149523283897E+05
    1.89628263157895E-03    5.41727472111986E+05
    1.86358810344828E-03    5.51032694501139E+05
    1.83200186440678E-03    5.60032931126182E+05
    1.80146850000000E-03    5.68707424185044E+05
    1.77193622950820E-03    5.77976721760554E+05
    1.74335661290323E-03    5.87070997212160E+05
    1.71568428571429E-03    5.95654705515059E+05
    1.68887671875000E-03    6.04548854544020E+05
    1.66289400000000E-03    6.13337630071269E+05
    1.63769863636364E-03    6.22321090503510E+05
    1.61325537313433E-03    6.31330602368374E+05
    1.58953102941176E-03    6.40260268550853E+05
    1.56649434782609E-03    6.48653222418541E+05
    1.54411585714286E-03    6.58065471381069E+05
    1.52236774647887E-03    6.66706196808734E+05
    1.50122375000000E-03    6.75202475003956E+05
    1.48065904109589E-03    6.84292516542922E+05
    1.46065013513514E-03    6.92544075976244E+05
    1.44117480000000E-03    7.01445351607666E+05
    1.42221197368421E-03    7.10064384554705E+05
    1.40374168831169E-03    7.18908146844610E+05
    1.38574500000000E-03    7.27610746463078E+05
    1.36820392405063E-03    7.36551621369750E+05
    1.35110137500000E-03    7.45176830101770E+05
    1.33442111111111E-03    7.53376884239093E+05
    1.31814768292683E-03    7.62025238099394E+05
    1.30226638554217E-03    7.70702658572525E+05
    1.28676321428571E-03    7.78995030537255E+05
    1.27162482352941E-03    7.87616014916571E+05
    1.25683848837209E-03    7.96697533703025E+05
    1.24239206896552E-03    8.05119234284364E+05
    1.22827397727273E-03    8.13266075354668E+05
    1.21447314606742E-03    8.22052380288936E+05
    1.20097900000000E-03    8.29879589966542E+05
    1.18778142857143E-03    8.38636946485219E+05
    1.17487076086957E-03    8.47181851740737E+05
    1.16223774193548E-03    8.55686688982395E+05
    1.14987351063830E-03    8.64338748769803E+05
    1.13776957894737E-03    8.72381471717622E+05
    1.12591781250000E-03    8.80856422426787E+05
    1.11431041237113E-03    8.89212552385087E+05
    1.10293989795918E-03    8.97773916680618E+05
    1.09179909090909E-03    9.06031110306883E+05
    1.08088110000000E-03    9.13935476581844E+05
