Volume,Observed Pressure,Calculated Pressure
0.227110,9999.07,9999.07
0.224861,10099.0,10099.0
0.222657,10199.0,10199.0
0.220495,10299.0,10299.0
0.218375,10399.0,10399.0
0.216295,10499.0,10499.0
0.214254,10599.0,10599.0
0.212252,10698.9,10698.9
0.210287,10798.9,10798.9
0.208358,10898.9,10898.9
0.206463,10998.9,10998.9
0.204603,11098.9,11098.9
0.202777,11198.8,11198.8
0.200982,11298.8,11298.8
0.199219,11398.8,11398.8
0.197487,11498.8,11498.8
0.195784,11598.7,11598.7
0.194111,11698.7,11698.7
0.192466,11798.7,11798.7
0.190849,11898.7,11898.7
0.189258,11998.7,11998.7
0.187694,12098.6,12098.6
0.186156,12198.6,12198.6
0.184642,12298.6,12298.6
0.183153,12398.6,12398.6
0.181688,12498.5,12498.5
0.180246,12598.5,12598.5
0.178827,12698.5,12698.5
0.177429,12798.5,12798.5
0.176054,12898.4,12898.4
0.174700,12998.4,12998.4
0.173366,13098.4,13098.4
0.172053,13198.4,13198.4
0.170759,13298.3,13298.3
0.169485,13398.3,13398.3
0.168229,13498.3,13498.3
0.166992,13598.3,13598.3
0.165774,13698.2,13698.2
0.164572,13798.2,13798.2
0.163388,13898.2,13898.2
0.162221,13998.2,13998.2
0.161071,14098.1,14098.1
0.159936,14198.1,14198.1
0.158818,14298.1,14298.1
0.157715,14398.1,14398.1
0.156627,14498.0,14498.0
0.155555,14598.0,14598.0
0.154496,14698.0,14698.0
0.153453,14798.0,14798.0
0.152423,14897.9,14897.9
0.151406,14997.9,14997.9
0.150404,15097.9,15097.9
0.149414,15197.8,15197.8
0.148438,15297.8,15297.8
0.147474,15397.8,15397.8
0.146522,15497.8,15497.8
0.145583,15597.7,15597.7
0.144656,15697.7,15697.7
0.143740,15797.7,15797.7
0.142836,15897.6,15897.6
0.141944,15997.6,15997.6
0.141062,16097.6,16097.6
0.140191,16197.6,16197.6
0.139331,16297.5,16297.5
0.138482,16397.5,16397.5
0.137642,16497.5,16497.5
0.136813,16597.4,16597.4
0.135994,16697.4,16697.4
0.135184,16797.4,16797.4
0.134384,16897.3,16897.3
0.133594,16997.3,16997.3
0.132813,17097.3,17097.3
0.132041,17197.2,17197.2
0.131277,17297.2,17297.2
0.130523,17397.2,17397.2
0.129777,17497.1,17497.1
0.129040,17597.1,17597.1
0.128311,17697.1,17697.1
0.127590,17797.0,17797.0
0.126877,17897.0,17897.0
0.126172,17997.0,17997.0
0.125475,18096.9,18096.9
0.124786,18196.9,18196.9
0.124104,18296.9,18296.9
0.123429,18396.8,18396.8
0.122762,18496.8,18496.8
0.122102,18596.8,18596.8
0.121449,18696.7,18696.7
0.120803,18796.7,18796.7
0.120164,18896.7,18896.7
0.119531,18996.6,18996.6
0.118906,19096.6,19096.6
0.118286,19196.6,19196.6
0.117673,19296.5,19296.5
0.117067,19396.5,19396.5
0.116467,19496.5,19496.5
0.115872,19596.4,19596.4
0.115284,19696.4,19696.4
0.114702,19796.3,19796.3
0.114126,19896.3,19896.3
0.113555,19996.3,19996.3
0.112990,20096.2,20096.2
0.112431,20196.2,20196.2
0.111877,20296.2,20296.2
0.111328,20396.1,20396.1
0.110785,20496.1,20496.1
0.110247,20596.0,20596.0
0.109715,20696.0,20696.0
0.109187,20796.0,20796.0
0.108665,20895.9,20895.9
0.108147,20995.9,20995.9
0.107635,21095.8,21095.8
0.107127,21195.8,21195.8
0.106624,21295.8,21295.8
0.106126,21395.7,21395.7
0.105632,21495.7,21495.7
0.105143,21595.6,21595.6
0.104659,21695.6,21695.6
0.104179,21795.6,21795.6
0.103703,21895.5,21895.5
0.103232,21995.5,21995.5
0.102765,22095.4,22095.4
0.102302,22195.4,22195.4
0.101843,22295.4,22295.4
0.101388,22395.3,22395.3
0.100938,22495.3,22495.3
0.100491,22595.2,22595.2
0.100048,22695.2,22695.2
0.996095E-1,22795.2,22795.2
0.991746E-1,22895.1,22895.1
0.987434E-1,22995.1,22995.1
0.983159E-1,23095.0,23095.0
0.978921E-1,23195.0,23195.0
0.974720E-1,23294.9,23294.9
0.970554E-1,23394.9,23394.9
0.966424E-1,23494.8,23494.8
0.962329E-1,23594.8,23594.8
0.958269E-1,23694.8,23694.8
0.954243E-1,23794.7,23794.7
