Volume,Observed Pressure,Calculated Pressure
0.123179,10001.0,10001.0
0.121959,10101.0,10101.0
0.120764,10201.0,10201.0
0.119591,10301.0,10301.0
0.118441,10401.1,10401.1
0.117313,10501.1,10501.1
0.116206,10601.1,10601.1
0.115120,10701.1,10701.1
0.114055,10801.1,10801.1
0.113008,10901.2,10901.2
0.111981,11001.2,11001.2
0.110972,11101.2,11101.2
0.109981,11201.2,11201.2
0.109008,11301.3,11301.3
0.108052,11401.3,11401.3
0.107112,11501.3,11501.3
0.106189,11601.3,11601.3
0.105281,11701.3,11701.3
0.104389,11801.4,11801.4
0.103512,11901.4,11901.4
0.102649,12001.4,12001.4
0.101801,12101.4,12101.4
0.100966,12201.5,12201.5
0.100145,12301.5,12301.5
0.993378E-1,12401.5,12401.5
0.985431E-1,12501.5,12501.5
0.977610E-1,12601.6,12601.6
0.969912E-1,12701.6,12701.6
0.962335E-1,12801.6,12801.6
0.954875E-1,12901.6,12901.6
0.947530E-1,13001.7,13001.7
0.940297E-1,13101.7,13101.7
0.933173E-1,13201.7,13201.7
0.926157E-1,13301.7,13301.7
0.919245E-1,13401.8,13401.8
0.912436E-1,13501.8,13501.8
0.905727E-1,13601.8,13601.8
0.899116E-1,13701.9,13701.9
0.892601E-1,13801.9,13801.9
0.886179E-1,13901.9,13901.9
0.879849E-1,14001.9,14001.9
0.873609E-1,14102.0,14102.0
0.867457E-1,14202.0,14202.0
0.861391E-1,14302.0,14302.0
0.855409E-1,14402.0,14402.0
0.849509E-1,14502.1,14502.1
0.843691E-1,14602.1,14602.1
0.837952E-1,14702.1,14702.1
0.832290E-1,14802.2,14802.2
0.826704E-1,14902.2,14902.2
0.821192E-1,15002.2,15002.2
0.815754E-1,15102.2,15102.2
0.810387E-1,15202.3,15202.3
0.805091E-1,15302.3,15302.3
0.799863E-1,15402.3,15402.3
0.794702E-1,15502.4,15502.4
0.789608E-1,15602.4,15602.4
0.784579E-1,15702.4,15702.4
0.779613E-1,15802.5,15802.5
0.774710E-1,15902.5,15902.5
0.769868E-1,16002.5,16002.5
0.765086E-1,16102.6,16102.6
0.760363E-1,16202.6,16202.6
0.755699E-1,16302.6,16302.6
0.751091E-1,16402.7,16402.7
0.746539E-1,16502.7,16502.7
0.742041E-1,16602.7,16602.7
0.737598E-1,16702.7,16702.7
0.733208E-1,16802.8,16802.8
0.728869E-1,16902.8,16902.8
0.724582E-1,17002.8,17002.8
0.720344E-1,17102.9,17102.9
0.716156E-1,17202.9,17202.9
0.712017E-1,17303.0,17303.0
0.707925E-1,17403.0,17403.0
0.703879E-1,17503.0,17503.0
0.699880E-1,17603.1,17603.1
0.695926E-1,17703.1,17703.1
0.692016E-1,17803.1,17803.1
0.688150E-1,17903.2,17903.2
0.684327E-1,18003.2,18003.2
0.680546E-1,18103.2,18103.2
0.676807E-1,18203.3,18203.3
0.673109E-1,18303.3,18303.3
0.669450E-1,18403.3,18403.3
0.665832E-1,18503.4,18503.4
0.662252E-1,18603.4,18603.4
0.658711E-1,18703.4,18703.4
0.655207E-1,18803.5,18803.5
0.651740E-1,18903.5,18903.5
0.648310E-1,19003.6,19003.6
