Volume,Observed Pressure,Calculated Pressure
0.415724E-1,10002.0,10002.0
0.411607E-1,10102.1,10102.1
0.407572E-1,10202.1,10202.1
0.403615E-1,10302.2,10302.2
0.399734E-1,10402.2,10402.2
0.395927E-1,10502.3,10502.3
0.392192E-1,10602.3,10602.3
0.388527E-1,10702.3,10702.3
0.384929E-1,10802.4,10802.4
0.381398E-1,10902.4,10902.4
0.377930E-1,11002.5,11002.5
0.374526E-1,11102.5,11102.5
0.371182E-1,11202.6,11202.6
0.367897E-1,11302.6,11302.6
0.364670E-1,11402.7,11402.7
0.361499E-1,11502.7,11502.7
0.358382E-1,11602.8,11602.8
0.355319E-1,11702.8,11702.8
0.352308E-1,11802.8,11802.8
0.349347E-1,11902.9,11902.9
0.346436E-1,12002.9,12002.9
0.343573E-1,12103.0,12103.0
0.340757E-1,12203.0,12203.0
0.337987E-1,12303.1,12303.1
0.335261E-1,12403.1,12403.1
0.332579E-1,12503.2,12503.2
0.329939E-1,12603.2,12603.2
0.327341E-1,12703.3,12703.3
0.324784E-1,12803.4,12803.4
0.322266E-1,12903.4,12903.4
0.319787E-1,13003.5,13003.5
0.317346E-1,13103.5,13103.5
0.314942E-1,13203.6,13203.6
0.312574E-1,13303.6,13303.6
0.310241E-1,13403.7,13403.7
0.307943E-1,13503.7,13503.7
0.305679E-1,13603.8,13603.8
0.303448E-1,13703.8,13703.8
0.301249E-1,13803.9,13803.9
0.299082E-1,13904.0,13904.0
0.296945E-1,14004.0,14004.0
0.294839E-1,14104.1,14104.1
0.292763E-1,14204.1,14204.1
0.290716E-1,14304.2,14304.2
0.288697E-1,14404.2,14404.2
0.286706E-1,14504.3,14504.3
0.284742E-1,14604.4,14604.4
0.282805E-1,14704.4,14704.4
0.280894E-1,14804.5,14804.5
0.279009E-1,14904.5,14904.5
0.277149E-1,15004.6,15004.6
0.275314E-1,15104.7,15104.7
0.273502E-1,15204.7,15204.7
0.271715E-1,15304.8,15304.8
0.269950E-1,15404.9,15404.9
0.268209E-1,15504.9,15504.9
0.266489E-1,15605.0,15605.0
0.264792E-1,15705.0,15705.0
0.263116E-1,15805.1,15805.1
0.261461E-1,15905.2,15905.2
0.259827E-1,16005.2,16005.2
0.258213E-1,16105.3,16105.3
0.256619E-1,16205.4,16205.4
0.255045E-1,16305.4,16305.4
0.253490E-1,16405.5,16405.5
0.251954E-1,16505.6,16505.6
0.250436E-1,16605.6,16605.6
0.248936E-1,16705.7,16705.7
0.247454E-1,16805.8,16805.8
0.245990E-1,16905.8,16905.8
0.244543E-1,17005.9,17005.9
0.243113E-1,17106.0,17106.0
0.241700E-1,17206.1,17206.1
0.240303E-1,17306.1,17306.1
0.238922E-1,17406.2,17406.2
0.237556E-1,17506.3,17506.3
0.236207E-1,17606.3,17606.3
0.234872E-1,17706.4,17706.4
0.233553E-1,17806.5,17806.5
0.232248E-1,17906.6,17906.6
0.230958E-1,18006.6,18006.6
0.229682E-1,18106.7,18106.7
0.228420E-1,18206.8,18206.8
0.227171E-1,18306.9,18306.9
0.225937E-1,18406.9,18406.9
0.224715E-1,18507.0,18507.0
0.223507E-1,18607.1,18607.1
0.222312E-1,18707.2,18707.2
0.221130E-1,18807.2,18807.2
0.219960E-1,18907.3,18907.3
0.218802E-1,19007.4,19007.4
0.217656E-1,19107.5,19107.5
0.216523E-1,19207.5,19207.5
0.215401E-1,19307.6,19307.6
0.214290E-1,19407.7,19407.7
0.213192E-1,19507.8,19507.8
0.212104E-1,19607.9,19607.9
0.211027E-1,19707.9,19707.9
0.209961E-1,19808.0,19808.0
0.208906E-1,19908.1,19908.1
0.207862E-1,20008.2,20008.2
0.206828E-1,20108.3,20108.3
0.205804E-1,20208.3,20208.3
0.204790E-1,20308.4,20308.4
0.203786E-1,20408.5,20408.5
0.202792E-1,20508.6,20508.6
0.201808E-1,20608.7,20608.7
0.200833E-1,20708.8,20708.8
0.199867E-1,20808.9,20808.9
0.198911E-1,20908.9,20908.9
0.197964E-1,21009.0,21009.0
0.197025E-1,21109.1,21109.1
0.196096E-1,21209.2,21209.2
0.195175E-1,21309.3,21309.3
0.194263E-1,21409.4,21409.4
0.193360E-1,21509.5,21509.5
0.192465E-1,21609.5,21609.5
0.191578E-1,21709.6,21709.6
0.190699E-1,21809.7,21809.7
0.189828E-1,21909.8,21909.8
0.188965E-1,22009.9,22009.9
0.188110E-1,22110.0,22110.0
0.187263E-1,22210.1,22210.1
0.186423E-1,22310.2,22310.2
0.185591E-1,22410.3,22410.3
0.184766E-1,22510.4,22510.4
0.183948E-1,22610.5,22610.5
0.183138E-1,22710.5,22710.5
0.182335E-1,22810.6,22810.6
0.181539E-1,22910.7,22910.7
0.180749E-1,23010.8,23010.8
0.179967E-1,23110.9,23110.9
0.179191E-1,23211.0,23211.0
0.178422E-1,23311.1,23311.1
0.177660E-1,23411.2,23411.2
0.176904E-1,23511.3,23511.3
0.176154E-1,23611.4,23611.4
0.175411E-1,23711.5,23711.5
0.174674E-1,23811.6,23811.6
0.173943E-1,23911.7,23911.7
0.173218E-1,24011.8,24011.8
0.172499E-1,24111.9,24111.9
0.171787E-1,24212.0,24212.0
0.171080E-1,24312.1,24312.1
0.170378E-1,24412.2,24412.2
0.169683E-1,24512.3,24512.3
0.168993E-1,24612.4,24612.4
0.168309E-1,24712.5,24712.5
0.167630E-1,24812.6,24812.6
0.166957E-1,24912.7,24912.7
0.166289E-1,25012.8,25012.8
0.165627E-1,25112.9,25112.9
0.164970E-1,25213.0,25213.0
