Volume,Observed Pressure,Calculated Pressure
0.831447E-1,9978.49,9979.88
0.755861E-1,10979.4,10975.7
0.692872E-1,11976.1,11971.0
0.639575E-1,12964.1,12966.0
0.593891E-1,13963.7,13960.6
0.554298E-1,14957.7,14954.7
0.519654E-1,15940.8,15948.5
0.489086E-1,16940.8,16941.8
0.461915E-1,17941.1,17934.8
0.437604E-1,18925.0,18927.4
0.415723E-1,19918.5,19919.5
0.395927E-1,20904.3,20911.3
0.377930E-1,21901.2,21902.6
0.361499E-1,22886.7,22893.5
0.346436E-1,23887.2,23884.1
0.332579E-1,24862.4,24874.2
0.319787E-1,25851.5,25864.0
0.307943E-1,26866.6,26853.3
0.296945E-1,27842.4,27842.2
0.286706E-1,28835.2,28830.8
0.277149E-1,29831.9,29818.9
0.268209E-1,30811.7,30806.6
0.259827E-1,31798.2,31793.9
0.251954E-1,32797.3,32780.9
0.244543E-1,33775.3,33767.4
0.237556E-1,34742.9,34753.5
0.230957E-1,35745.2,35739.2
0.224715E-1,36722.4,36724.5
0.218802E-1,37715.0,37709.4
0.213192E-1,38701.4,38693.9
0.207862E-1,39687.0,39678.0
0.202792E-1,40641.6,40661.7
0.197964E-1,41625.1,41645.0
0.193360E-1,42617.9,42627.9
0.188965E-1,43605.7,43610.4
0.184766E-1,44612.6,44592.5
0.180749E-1,45587.4,45574.2
0.176904E-1,46559.2,46555.5
0.173218E-1,47535.2,47536.4
0.169683E-1,48532.3,48516.8
0.166289E-1,49495.4,49496.9
0.163029E-1,50459.4,50476.6
0.159894E-1,51431.7,51455.9
0.156877E-1,52456.0,52434.7
0.153972E-1,53404.8,53413.2
0.151172E-1,54408.0,54391.3
0.148473E-1,55343.4,55368.9
0.145868E-1,56332.3,56346.2
0.143353E-1,57320.7,57323.1
0.140923E-1,58322.6,58299.5
0.138574E-1,59294.5,59275.6
0.136303E-1,60252.6,60251.2
0.134104E-1,61217.4,61226.5
0.131976E-1,62185.6,62201.3
0.129914E-1,63159.8,63175.8
0.127915E-1,64129.7,64149.8
0.125977E-1,65101.4,65123.4
0.124097E-1,66075.0,66096.7
0.122272E-1,67081.9,67069.5
0.120500E-1,68070.4,68041.9
0.118778E-1,68982.6,69014.0
0.117105E-1,69973.7,69985.6
0.115479E-1,70982.6,70956.8
0.113897E-1,71952.0,71927.6
0.112358E-1,72895.2,72898.0
0.110860E-1,73865.3,73868.1
0.109401E-1,74838.6,74837.7
0.107980E-1,75839.5,75806.9
0.106596E-1,76786.3,76775.7
0.105246E-1,77727.0,77744.1
0.103931E-1,78715.1,78712.1
0.102648E-1,79681.5,79679.7
0.101396E-1,80620.3,80646.9
0.100174E-1,81640.4,81613.7
0.989818E-2,82600.2,82580.1
0.978173E-2,83587.3,83546.1
0.966799E-2,84483.1,84511.7
0.955686E-2,85473.4,85476.9
0.944826E-2,86422.7,86441.7
0.934210E-2,87395.1,87406.0
0.923830E-2,88399.9,88370.0
0.913678E-2,89350.1,89333.6
0.903747E-2,90307.4,90296.8
0.894029E-2,91223.8,91259.5
0.884518E-2,92265.9,92221.9
0.875207E-2,93198.9,93183.9
0.866091E-2,94155.3,94145.4
0.857162E-2,95128.0,95106.6
0.848415E-2,96024.6,96067.4
0.839845E-2,97015.2,97027.7
0.831447E-2,98009.5,97987.7
0.823215E-2,98908.1,98947.2
0.815144E-2,99922.9,99906.4
0.807230E-2,100901.,100865.
0.799468E-2,101776.,101823.
0.791854E-2,102738.,102781.
0.784384E-2,103700.,103739.
0.777053E-2,104713.,104696.
0.769858E-2,105657.,105653.
0.762795E-2,106605.,106609.
0.755861E-2,107600.,107565.
0.749051E-2,108563.,108521.
0.742363E-2,109495.,109476.
0.735794E-2,110439.,110430.
0.729339E-2,111376.,111385.
0.722997E-2,112374.,112339.
0.716765E-2,113263.,113292.
0.710638E-2,114249.,114245.
0.704616E-2,115242.,115198.
0.698695E-2,116100.,116150.
0.692872E-2,117157.,117102.
0.687146E-2,118026.,118054.
0.681514E-2,119040.,119005.
0.675973E-2,119903.,119956.
0.670522E-2,120889.,120906.
0.665158E-2,121879.,121856.
0.659879E-2,122762.,122805.
0.654683E-2,123723.,123754.
0.649568E-2,124671.,124703.
0.644533E-2,125625.,125651.
0.639575E-2,126577.,126599.
0.634692E-2,127592.,127547.
0.629884E-2,128483.,128494.
0.625148E-2,129451.,129440.
0.620483E-2,130325.,130387.
0.615887E-2,131368.,131333.
0.611358E-2,132219.,132278.
0.606896E-2,133285.,133223.
0.602498E-2,134105.,134168.
0.598163E-2,135100.,135112.
0.593891E-2,136008.,136056.
0.589679E-2,137004.,136999.
0.585526E-2,137887.,137942.
0.581431E-2,138847.,138885.
0.577394E-2,139793.,139827.
0.573412E-2,140724.,140769.
0.569484E-2,141712.,141711.
0.565610E-2,142713.,142652.
0.561789E-2,143534.,143592.
0.558018E-2,144587.,144532.
0.554298E-2,145423.,145472.
0.550627E-2,146349.,146412.
0.547005E-2,147362.,147351.
0.543429E-2,148257.,148289.
0.539901E-2,149264.,149228.
0.536417E-2,150169.,150165.
0.532979E-2,151061.,151103.
0.529584E-2,151984.,152040.
0.526232E-2,152941.,152976.
0.522923E-2,153955.,153913.
0.519654E-2,154840.,154848.
0.516427E-2,155731.,155784.
0.513239E-2,156727.,156719.
0.510090E-2,157676.,157653.
0.506980E-2,158625.,158588.
0.503907E-2,159500.,159521.
0.500872E-2,160435.,160455.
0.497872E-2,161408.,161388.
0.494909E-2,162240.,162320.
0.491980E-2,163205.,163253.
0.489086E-2,164135.,164184.
0.486226E-2,165169.,165116.
0.483399E-2,166068.,166047.
0.480605E-2,167059.,166977.
0.477843E-2,167936.,167907.
0.475113E-2,168780.,168837.
0.472413E-2,169694.,169767.
0.469744E-2,170675.,170696.
0.467105E-2,171643.,171624.
0.464496E-2,172546.,172552.
0.461915E-2,173531.,173480.
0.459363E-2,174332.,174407.
0.456839E-2,175368.,175334.
0.454343E-2,176284.,176261.
0.451873E-2,177107.,177187.
0.449431E-2,178095.,178113.
0.447015E-2,179111.,179038.
0.444624E-2,180045.,179963.
0.442259E-2,180877.,180888.
0.439919E-2,181893.,181812.
0.437604E-2,182700.,182735.
0.435313E-2,183634.,183659.
0.433045E-2,184656.,184582.
0.430802E-2,185496.,185504.
0.428581E-2,186500.,186426.
0.426383E-2,187392.,187348.
0.424208E-2,188260.,188269.
