Volume,Observed Pressure,Calculated Pressure
0.178761,9981.65,9980.93
0.176991,10082.9,10080.5
0.175256,10178.6,10180.2
0.173554,10275.1,10279.8
0.171886,10378.8,10379.4
0.170249,10478.3,10479.0
0.168643,10582.0,10578.6
0.167066,10673.1,10678.2
0.165520,10776.9,10777.7
0.164001,10873.1,10877.3
0.162510,10978.8,10976.9
0.161046,11079.5,11076.5
0.159608,11174.1,11176.1
0.158196,11271.9,11275.6
0.156808,11377.7,11375.2
0.155444,11470.9,11474.8
0.154104,11575.3,11574.3
0.152787,11677.9,11673.9
0.151492,11772.6,11773.4
0.150219,11875.1,11873.0
0.148968,11974.5,11972.5
0.147736,12068.6,12072.1
0.146526,12175.9,12171.6
0.145334,12266.8,12271.1
0.144162,12366.4,12370.7
0.143009,12471.6,12470.2
0.141874,12575.1,12569.7
0.140757,12670.6,12669.2
0.139657,12766.9,12768.7
0.138575,12862.1,12868.2
0.137509,12968.9,12967.8
0.136459,13063.7,13067.3
0.135425,13170.4,13166.8
0.134407,13270.6,13266.2
0.133404,13368.4,13365.7
0.132416,13468.3,13465.2
0.131442,13559.8,13564.7
0.130483,13670.1,13664.2
0.129537,13769.1,13763.7
0.128605,13869.6,13863.1
0.127687,13965.8,13962.6
0.126781,14061.0,14062.1
0.125888,14158.3,14161.5
0.125008,14263.2,14261.0
0.124140,14364.2,14360.4
0.123284,14458.3,14459.9
0.122439,14556.5,14559.3
0.121606,14661.7,14658.8
0.120785,14751.4,14758.2
0.119974,14855.1,14857.6
0.119174,14964.4,14957.1
0.118385,15059.9,15056.5
0.117606,15155.1,15155.9
0.116837,15252.4,15255.3
0.116079,15358.0,15354.7
0.115330,15448.4,15454.1
0.114590,15556.4,15553.6
0.113861,15657.1,15653.0
0.113140,15754.0,15752.4
0.112428,15852.6,15851.7
0.111726,15954.0,15951.1
0.111032,16056.9,16050.5
0.110346,16152.3,16149.9
0.109669,16252.9,16249.3
0.109001,16343.1,16348.7
0.108340,16454.4,16448.0
0.107687,16541.3,16547.4
0.107043,16650.0,16646.8
0.106405,16749.0,16746.1
0.105776,16845.5,16845.5
0.105154,16944.9,16944.8
0.104539,17037.3,17044.2
0.103931,17147.9,17143.5
0.103330,17238.9,17242.9
0.102736,17349.5,17342.2
0.102149,17448.2,17441.5
0.101569,17535.9,17540.9
0.100995,17639.0,17640.2
0.100428,17743.3,17739.5
0.998665E-1,17842.6,17838.8
0.993117E-1,17940.7,17938.1
0.987630E-1,18045.9,18037.5
0.982204E-1,18144.0,18136.8
0.976837E-1,18230.4,18236.1
0.971528E-1,18328.2,18335.4
0.966276E-1,18436.6,18434.7
0.961081E-1,18525.3,18533.9
0.955942E-1,18628.1,18633.2
0.950857E-1,18727.8,18732.5
0.945826E-1,18833.1,18831.8
0.940848E-1,18928.5,18931.1
0.935922E-1,19030.1,19030.3
0.931047E-1,19134.2,19129.6
0.926223E-1,19232.2,19228.9
0.921449E-1,19325.3,19328.1
0.916724E-1,19429.1,19427.4
0.912046E-1,19523.4,19526.6
0.907417E-1,19631.7,19625.9
0.902834E-1,19719.2,19725.1
0.898297E-1,19819.0,19824.4
0.893806E-1,19915.5,19923.6
0.889359E-1,20028.8,20022.8
0.884956E-1,20129.7,20122.1
0.880597E-1,20214.6,20221.3
0.876280E-1,20311.8,20320.5
0.872005E-1,20429.8,20419.7
0.867772E-1,20516.7,20519.0
0.863580E-1,20617.5,20618.2
0.859428E-1,20723.5,20717.4
0.855316E-1,20807.5,20816.6
0.851243E-1,20913.6,20915.8
0.847209E-1,21021.1,21015.0
0.843213E-1,21124.7,21114.2
0.839254E-1,21207.9,21213.3
0.835332E-1,21318.4,21312.5
0.831447E-1,21404.2,21411.7
0.827598E-1,21521.4,21510.9
0.823784E-1,21615.9,21610.1
0.820005E-1,21699.7,21709.2
0.816261E-1,21811.1,21808.4
0.812551E-1,21911.6,21907.6
0.808874E-1,21995.8,22006.7
0.805230E-1,22100.3,22105.9
0.801619E-1,22211.7,22205.0
0.798041E-1,22297.5,22304.2
0.794494E-1,22402.4,22403.3
0.790978E-1,22507.5,22502.4
0.787494E-1,22601.2,22601.6
0.784040E-1,22712.0,22700.7
0.780616E-1,22796.9,22799.8
0.777222E-1,22897.4,22898.9
0.773858E-1,22987.8,22998.1
0.770522E-1,23099.5,23097.2
0.767215E-1,23189.9,23196.3
0.763936E-1,23298.1,23295.4
0.760686E-1,23400.6,23394.5
0.757462E-1,23498.9,23493.6
0.754266E-1,23590.9,23592.7
0.751097E-1,23685.9,23691.8
0.747954E-1,23797.7,23790.9
0.744838E-1,23901.6,23890.0
0.741747E-1,23981.2,23989.0
0.738682E-1,24079.3,24088.1
0.735642E-1,24175.4,24187.2
0.732628E-1,24291.9,24286.2
0.729637E-1,24376.3,24385.3
0.726671E-1,24488.8,24484.4
0.723729E-1,24595.2,24583.4
0.720811E-1,24688.9,24682.5
0.717916E-1,24775.5,24781.5
0.715044E-1,24880.9,24880.6
0.712196E-1,24972.8,24979.6
0.709369E-1,25069.3,25078.7
0.706566E-1,25172.2,25177.7
0.703784E-1,25280.5,25276.7
0.701024E-1,25375.0,25375.7
0.698286E-1,25487.4,25474.8
0.695569E-1,25569.8,25573.8
0.692873E-1,25665.1,25672.8
0.690197E-1,25775.3,25771.8
0.687543E-1,25883.3,25870.8
0.684908E-1,25973.1,25969.8
0.682294E-1,26056.0,26068.8
0.679700E-1,26159.4,26167.8
0.677125E-1,26279.7,26266.8
0.674570E-1,26372.5,26365.8
0.672034E-1,26452.4,26464.8
0.669517E-1,26551.9,26563.8
0.667019E-1,26663.8,26662.7
0.664539E-1,26764.0,26761.7
0.662078E-1,26855.9,26860.7
0.659635E-1,26972.3,26959.6
0.657210E-1,27047.8,27058.6
0.654803E-1,27149.6,27157.6
0.652413E-1,27262.6,27256.5
0.650040E-1,27343.8,27355.5
0.647685E-1,27467.2,27454.4
0.645347E-1,27546.6,27553.3
0.643026E-1,27665.5,27652.3
0.640721E-1,27751.3,27751.2
0.638433E-1,27854.5,27850.1
0.636161E-1,27950.1,27949.1
0.633905E-1,28046.7,28048.0
0.631665E-1,28141.7,28146.9
0.629441E-1,28241.8,28245.8
0.627232E-1,28338.8,28344.7
0.625039E-1,28439.8,28443.6
0.622861E-1,28529.5,28542.5
0.620698E-1,28629.1,28641.4
0.618551E-1,28728.3,28740.3
0.616418E-1,28825.7,28839.2
0.614299E-1,28952.3,28938.1
0.612196E-1,29048.5,29037.0
0.610106E-1,29144.0,29135.9
0.608031E-1,29242.4,29234.8
0.605970E-1,29339.9,29333.6
0.603923E-1,29436.8,29432.5
0.601889E-1,29532.4,29531.4
0.599870E-1,29624.6,29630.2
0.597863E-1,29731.2,29729.1
0.595870E-1,29824.8,29827.9
0.593891E-1,29927.5,29926.8
0.591924E-1,30039.4,30025.6
0.589971E-1,30112.4,30124.5
0.588030E-1,30220.9,30223.3
0.586102E-1,30327.7,30322.1
0.584187E-1,30424.0,30421.0
0.582284E-1,30513.3,30519.8
0.580393E-1,30631.2,30618.6
0.578515E-1,30732.2,30717.4
0.576649E-1,30828.3,30816.2
0.574795E-1,30915.7,30915.1
0.572952E-1,31013.5,31013.9
0.571122E-1,31110.0,31112.7
0.569303E-1,31201.9,31211.5
0.567496E-1,31309.7,31310.3
0.565700E-1,31418.8,31409.1
0.563915E-1,31516.9,31507.8
0.562142E-1,31608.2,31606.6
0.560380E-1,31702.5,31705.4
0.558628E-1,31810.9,31804.2
0.556888E-1,31898.3,31903.0
0.555159E-1,32002.6,32001.7
0.553440E-1,32111.0,32100.5
0.551732E-1,32194.5,32199.2
0.550034E-1,32287.4,32298.0
0.548347E-1,32387.3,32396.8
0.546670E-1,32488.6,32495.5
0.545003E-1,32607.8,32594.2
0.543347E-1,32700.0,32693.0
0.541700E-1,32776.0,32791.7
0.540064E-1,32880.7,32890.5
0.538437E-1,32974.7,32989.2
0.536820E-1,33085.9,33087.9
0.535213E-1,33189.7,33186.6
0.533615E-1,33288.7,33285.4
0.532027E-1,33392.4,33384.1
0.530448E-1,33475.4,33482.8
0.528879E-1,33569.5,33581.5
0.527319E-1,33665.4,33680.2
0.525768E-1,33781.4,33778.9
0.524226E-1,33874.5,33877.6
0.522693E-1,33966.3,33976.3
0.521169E-1,34067.1,34075.0
0.519654E-1,34170.6,34173.6
0.518148E-1,34261.0,34272.3
0.516651E-1,34356.7,34371.0
0.515162E-1,34473.3,34469.7
0.513681E-1,34552.6,34568.3
0.512209E-1,34682.3,34667.0
0.510746E-1,34752.4,34765.7
0.509291E-1,34862.1,34864.3
0.507844E-1,34962.7,34963.0
0.506405E-1,35045.3,35061.6
0.504975E-1,35147.8,35160.3
0.503552E-1,35268.4,35258.9
0.502138E-1,35368.7,35357.5
0.500731E-1,35465.4,35456.2
0.499333E-1,35559.8,35554.8
0.497942E-1,35645.9,35653.4
0.496559E-1,35756.3,35752.0
0.495183E-1,35861.5,35850.7
0.493815E-1,35954.2,35949.3
0.492455E-1,36046.5,36047.9
0.491102E-1,36158.8,36146.5
0.489756E-1,36244.6,36245.1
