Volume,Observed Pressure,Calculated Pressure
0.108088,9995.39,9991.30
0.540441E-0001,19965.3,19965.2
0.360294E-0001,29925.9,29921.7
0.270220E-0001,39853.5,39860.8
0.216176E-0001,49777.8,49782.6
0.180147E-0001,59666.9,59686.9
0.154412E-0001,69550.0,69574.0
0.135110E-0001,79465.9,79443.6
0.120098E-0001,89288.3,89295.9
0.108088E-0001,99148.4,99130.9
0.982619E-0002,108985.,108948.
0.900734E-0002,118695.,118749.
0.831447E-0002,128594.,128532.
0.772058E-0002,138231.,138297.
0.720587E-0002,148038.,148046.
0.675551E-0002,157717.,157777.
0.635812E-0002,167458.,167490.
0.600490E-0002,177242.,177187.
0.568885E-0002,186807.,186866.
0.540441E-0002,196526.,196528.
0.514705E-0002,206133.,206173.
0.491310E-0002,215727.,215800.
0.469948E-0002,225383.,225410.
0.450367E-0002,235062.,235003.
0.432352E-0002,244549.,244579.
0.415723E-0002,254239.,254137.
0.400326E-0002,263697.,263678.
0.386029E-0002,273312.,273202.
0.372718E-0002,282709.,282709.
0.360294E-0002,292162.,292198.
0.348671E-0002,301634.,301671.
0.337775E-0002,311081.,311126.
0.327540E-0002,320464.,320564.
0.317906E-0002,329975.,329985.
0.308823E-0002,339312.,339388.
0.300245E-0002,348650.,348775.
0.292130E-0002,358218.,358144.
0.284442E-0002,367587.,367496.
0.277149E-0002,376962.,376831.
0.270220E-0002,386119.,386149.
0.263630E-0002,395281.,395450.
0.257353E-0002,404936.,404733.
0.251368E-0002,413936.,414000.
0.245655E-0002,423382.,423249.
0.240196E-0002,432489.,432482.
0.234974E-0002,441908.,441697.
0.229975E-0002,451066.,450895.
0.225184E-0002,459873.,460076.
0.220588E-0002,469236.,469240.
0.216176E-0002,478425.,478387.
0.211937E-0002,487597.,487517.
0.207862E-0002,496694.,496630.
0.203940E-0002,505660.,505726.
0.200163E-0002,514672.,514804.
0.196524E-0002,523925.,523866.
0.193014E-0002,533150.,532911.
0.189628E-0002,541727.,541939.
0.186359E-0002,551033.,550949.
0.183200E-0002,560033.,559943.
0.180147E-0002,568707.,568920.
0.177194E-0002,577977.,577879.
0.174336E-0002,587071.,586822.
0.171568E-0002,595655.,595748.
0.168888E-0002,604549.,604657.
0.166289E-0002,613338.,613549.
0.163770E-0002,622321.,622424.
0.161326E-0002,631331.,631282.
0.158953E-0002,640260.,640123.
0.156649E-0002,648653.,648947.
0.154412E-0002,658065.,657754.
0.152237E-0002,666706.,666545.
0.150122E-0002,675202.,675318.
0.148066E-0002,684293.,684075.
0.146065E-0002,692544.,692814.
0.144117E-0002,701445.,701537.
0.142221E-0002,710064.,710243.
0.140374E-0002,718908.,718932.
0.138574E-0002,727611.,727604.
0.136820E-0002,736552.,736260.
0.135110E-0002,745177.,744898.
0.133442E-0002,753377.,753520.
0.131815E-0002,762025.,762125.
0.130227E-0002,770703.,770713.
0.128676E-0002,778995.,779284.
0.127162E-0002,787616.,787839.
0.125684E-0002,796698.,796376.
0.124239E-0002,805119.,804897.
0.122827E-0002,813266.,813401.
0.121447E-0002,822052.,821889.
0.120098E-0002,829880.,830359.
0.118778E-0002,838637.,838813.
0.117487E-0002,847182.,847250.
0.116224E-0002,855687.,855671.
0.114987E-0002,864339.,864074.
0.113777E-0002,872381.,872461.
0.112592E-0002,880856.,880831.
0.111431E-0002,889213.,889185.
0.110294E-0002,897774.,897521.
0.109180E-0002,906031.,905842.
0.108088E-0002,913935.,914145.
