X,Y
0.147090E+0009,0.00000
0.147090E+0009,95599.1
0.147090E+0009,191198.
0.147090E+0009,286797.
0.147090E+0009,382396.
0.147089E+0009,477995.
0.147089E+0009,573593.
0.147089E+0009,669191.
0.147088E+0009,764789.
0.147088E+0009,860387.
0.147087E+0009,955984.
0.147086E+0009,0.105158E+0007
0.147086E+0009,0.114718E+0007
0.147085E+0009,0.124277E+0007
0.147084E+0009,0.133837E+0007
0.147083E+0009,0.143396E+0007
0.147082E+0009,0.152956E+0007
0.147081E+0009,0.162515E+0007
0.147080E+0009,0.172075E+0007
0.147079E+0009,0.181634E+0007
0.147078E+0009,0.191193E+0007
0.147077E+0009,0.200752E+0007
0.147075E+0009,0.210311E+0007
0.147074E+0009,0.219870E+0007
0.147072E+0009,0.229429E+0007
0.147071E+0009,0.238987E+0007
0.147069E+0009,0.248546E+0007
0.147068E+0009,0.258105E+0007
0.147066E+0009,0.267663E+0007
0.147064E+0009,0.277221E+0007
0.147063E+0009,0.286779E+0007
0.147061E+0009,0.296338E+0007
0.147059E+0009,0.305895E+0007
0.147057E+0009,0.315453E+0007
0.147055E+0009,0.325011E+0007
0.147053E+0009,0.334568E+0007
0.147050E+0009,0.344126E+0007
0.147048E+0009,0.353683E+0007
0.147046E+0009,0.363240E+0007
0.147044E+0009,0.372797E+0007
0.147041E+0009,0.382354E+0007
0.147039E+0009,0.391911E+0007
0.147036E+0009,0.401467E+0007
0.147034E+0009,0.411024E+0007
0.147031E+0009,0.420580E+0007
0.147028E+0009,0.430136E+0007
0.147025E+0009,0.439691E+0007
0.147023E+0009,0.449247E+0007
0.147020E+0009,0.458803E+0007
0.147017E+0009,0.468358E+0007
0.147014E+0009,0.477913E+0007
0.147011E+0009,0.487468E+0007
0.147007E+0009,0.497022E+0007
0.147004E+0009,0.506577E+0007
0.147001E+0009,0.516131E+0007
0.146998E+0009,0.525685E+0007
0.146994E+0009,0.535239E+0007
0.146991E+0009,0.544792E+0007
0.146987E+0009,0.554346E+0007
0.146984E+0009,0.563899E+0007
0.146980E+0009,0.573452E+0007
0.146976E+0009,0.583004E+0007
0.146973E+0009,0.592557E+0007
0.146969E+0009,0.602109E+0007
0.146965E+0009,0.611661E+0007
0.146961E+0009,0.621212E+0007
0.146957E+0009,0.630764E+0007
0.146953E+0009,0.640315E+0007
0.146949E+0009,0.649866E+0007
