X,Y
0.740520E+0009,0.00000
0.740520E+0009,513640.
0.740519E+0009,0.102728E+0007
0.740518E+0009,0.154092E+0007
0.740517E+0009,0.205456E+0007
0.740516E+0009,0.256820E+0007
0.740514E+0009,0.308183E+0007
0.740512E+0009,0.359547E+0007
0.740509E+0009,0.410910E+0007
0.740506E+0009,0.462273E+0007
0.740503E+0009,0.513636E+0007
0.740499E+0009,0.564999E+0007
0.740496E+0009,0.616361E+0007
0.740491E+0009,0.667723E+0007
0.740487E+0009,0.719085E+0007
0.740482E+0009,0.770447E+0007
0.740477E+0009,0.821808E+0007
0.740471E+0009,0.873169E+0007
0.740465E+0009,0.924529E+0007
0.740459E+0009,0.975889E+0007
0.740452E+0009,0.102725E+0008
0.740445E+0009,0.107861E+0008
0.740438E+0009,0.112997E+0008
0.740430E+0009,0.118132E+0008
0.740422E+0009,0.123268E+0008
0.740414E+0009,0.128404E+0008
0.740405E+0009,0.133540E+0008
0.740396E+0009,0.138675E+0008
0.740387E+0009,0.143811E+0008
0.740377E+0009,0.148946E+0008
0.740367E+0009,0.154081E+0008
0.740357E+0009,0.159217E+0008
0.740346E+0009,0.164352E+0008
0.740335E+0009,0.169487E+0008
0.740324E+0009,0.174622E+0008
0.740312E+0009,0.179757E+0008
0.740300E+0009,0.184892E+0008
0.740288E+0009,0.190027E+0008
0.740275E+0009,0.195162E+0008
0.740262E+0009,0.200296E+0008
0.740249E+0009,0.205431E+0008
0.740235E+0009,0.210565E+0008
0.740221E+0009,0.215700E+0008
0.740206E+0009,0.220834E+0008
0.740192E+0009,0.225968E+0008
0.740177E+0009,0.231102E+0008
0.740161E+0009,0.236236E+0008
0.740145E+0009,0.241370E+0008
0.740129E+0009,0.246504E+0008
0.740113E+0009,0.251638E+0008
0.740096E+0009,0.256771E+0008
0.740079E+0009,0.261904E+0008
0.740061E+0009,0.267038E+0008
0.740044E+0009,0.272171E+0008
0.740026E+0009,0.277304E+0008
0.740007E+0009,0.282437E+0008
0.739988E+0009,0.287570E+0008
0.739969E+0009,0.292702E+0008
0.739950E+0009,0.297835E+0008
0.739930E+0009,0.302967E+0008
0.739910E+0009,0.308099E+0008
0.739889E+0009,0.313231E+0008
0.739868E+0009,0.318363E+0008
0.739847E+0009,0.323495E+0008
0.739825E+0009,0.328627E+0008
0.739804E+0009,0.333758E+0008
0.739781E+0009,0.338890E+0008
0.739759E+0009,0.344021E+0008
0.739736E+0009,0.349152E+0008
0.739713E+0009,0.354283E+0008
0.739689E+0009,0.359414E+0008
0.739665E+0009,0.364544E+0008
0.739641E+0009,0.369675E+0008
0.739616E+0009,0.374805E+0008
0.739592E+0009,0.379935E+0008
0.739566E+0009,0.385065E+0008
0.739541E+0009,0.390194E+0008
0.739515E+0009,0.395324E+0008
0.739488E+0009,0.400453E+0008
0.739462E+0009,0.405582E+0008
0.739435E+0009,0.410711E+0008
0.739408E+0009,0.415840E+0008
0.739380E+0009,0.420969E+0008
