X,Y
0.206620E+0009,0.00000
0.206620E+0009,157307.
0.206620E+0009,314613.
0.206620E+0009,471920.
0.206619E+0009,629226.
0.206619E+0009,786532.
0.206618E+0009,943837.
0.206617E+0009,0.110114E+0007
0.206616E+0009,0.125845E+0007
0.206616E+0009,0.141575E+0007
0.206615E+0009,0.157305E+0007
0.206613E+0009,0.173036E+0007
0.206612E+0009,0.188766E+0007
0.206611E+0009,0.204496E+0007
0.206609E+0009,0.220226E+0007
0.206608E+0009,0.235955E+0007
0.206606E+0009,0.251685E+0007
0.206604E+0009,0.267415E+0007
0.206602E+0009,0.283144E+0007
0.206600E+0009,0.298873E+0007
0.206598E+0009,0.314602E+0007
0.206596E+0009,0.330331E+0007
0.206593E+0009,0.346060E+0007
0.206591E+0009,0.361788E+0007
0.206588E+0009,0.377517E+0007
0.206586E+0009,0.393245E+0007
0.206583E+0009,0.408973E+0007
0.206580E+0009,0.424701E+0007
0.206577E+0009,0.440428E+0007
0.206574E+0009,0.456155E+0007
0.206571E+0009,0.471883E+0007
0.206567E+0009,0.487609E+0007
0.206564E+0009,0.503336E+0007
0.206560E+0009,0.519062E+0007
0.206557E+0009,0.534788E+0007
0.206553E+0009,0.550514E+0007
0.206549E+0009,0.566239E+0007
0.206545E+0009,0.581964E+0007
0.206541E+0009,0.597689E+0007
0.206537E+0009,0.613414E+0007
0.206532E+0009,0.629138E+0007
0.206528E+0009,0.644862E+0007
0.206523E+0009,0.660585E+0007
0.206519E+0009,0.676308E+0007
0.206514E+0009,0.692031E+0007
0.206509E+0009,0.707753E+0007
0.206504E+0009,0.723475E+0007
0.206499E+0009,0.739197E+0007
0.206494E+0009,0.754918E+0007
0.206489E+0009,0.770639E+0007
0.206483E+0009,0.786360E+0007
0.206478E+0009,0.802080E+0007
0.206472E+0009,0.817799E+0007
0.206466E+0009,0.833519E+0007
0.206460E+0009,0.849237E+0007
0.206454E+0009,0.864956E+0007
0.206448E+0009,0.880673E+0007
0.206442E+0009,0.896391E+0007
0.206436E+0009,0.912108E+0007
0.206429E+0009,0.927824E+0007
0.206423E+0009,0.943540E+0007
0.206416E+0009,0.959255E+0007
0.206410E+0009,0.974970E+0007
0.206403E+0009,0.990685E+0007
0.206396E+0009,0.100640E+0008
0.206389E+0009,0.102211E+0008
0.206381E+0009,0.103782E+0008
0.206374E+0009,0.105354E+0008
0.206367E+0009,0.106925E+0008
0.206359E+0009,0.108496E+0008
0.206352E+0009,0.110067E+0008
0.206344E+0009,0.111638E+0008
0.206336E+0009,0.113209E+0008
0.206328E+0009,0.114780E+0008
0.206320E+0009,0.116351E+0008
0.206312E+0009,0.117921E+0008
0.206304E+0009,0.119492E+0008
0.206295E+0009,0.121063E+0008
0.206287E+0009,0.122633E+0008
0.206278E+0009,0.124204E+0008
0.206270E+0009,0.125774E+0008
0.206261E+0009,0.127345E+0008
0.206252E+0009,0.128915E+0008
0.206243E+0009,0.130485E+0008
0.206234E+0009,0.132055E+0008
0.206224E+0009,0.133625E+0008
0.206215E+0009,0.135195E+0008
0.206206E+0009,0.136765E+0008
0.206196E+0009,0.138335E+0008
0.206186E+0009,0.139905E+0008
0.206177E+0009,0.141475E+0008
0.206167E+0009,0.143044E+0008
0.206157E+0009,0.144614E+0008
0.206147E+0009,0.146183E+0008
0.206136E+0009,0.147753E+0008
0.206126E+0009,0.149322E+0008
0.206116E+0009,0.150892E+0008
0.206105E+0009,0.152461E+0008
0.206094E+0009,0.154030E+0008
0.206083E+0009,0.155599E+0008
0.206073E+0009,0.157168E+0008
0.206062E+0009,0.158737E+0008
0.206051E+0009,0.160305E+0008
0.206039E+0009,0.161874E+0008
0.206028E+0009,0.163443E+0008
0.206017E+0009,0.165011E+0008
0.206005E+0009,0.166580E+0008
0.205993E+0009,0.168148E+0008
0.205982E+0009,0.169716E+0008
0.205970E+0009,0.171284E+0008
0.205958E+0009,0.172852E+0008
0.205946E+0009,0.174420E+0008
0.205933E+0009,0.175988E+0008
0.205921E+0009,0.177556E+0008
0.205909E+0009,0.179124E+0008
0.205896E+0009,0.180691E+0008
0.205884E+0009,0.182259E+0008
0.205871E+0009,0.183826E+0008
0.205858E+0009,0.185394E+0008
0.205845E+0009,0.186961E+0008
0.205832E+0009,0.188528E+0008
0.205819E+0009,0.190095E+0008
0.205805E+0009,0.191662E+0008
0.205792E+0009,0.193229E+0008
0.205779E+0009,0.194795E+0008
0.205765E+0009,0.196362E+0008
0.205751E+0009,0.197929E+0008
0.205737E+0009,0.199495E+0008
0.205723E+0009,0.201061E+0008
0.205709E+0009,0.202627E+0008
0.205695E+0009,0.204194E+0008
0.205681E+0009,0.205760E+0008
0.205667E+0009,0.207325E+0008
0.205652E+0009,0.208891E+0008
0.205638E+0009,0.210457E+0008
0.205623E+0009,0.212022E+0008
0.205608E+0009,0.213588E+0008
0.205593E+0009,0.215153E+0008
0.205578E+0009,0.216718E+0008
0.205563E+0009,0.218283E+0008
0.205548E+0009,0.219848E+0008
0.205532E+0009,0.221413E+0008
0.205517E+0009,0.222978E+0008
0.205501E+0009,0.224543E+0008
0.205486E+0009,0.226107E+0008
0.205470E+0009,0.227671E+0008
0.205454E+0009,0.229236E+0008
0.205438E+0009,0.230800E+0008
0.205422E+0009,0.232364E+0008
0.205406E+0009,0.233928E+0008
0.205389E+0009,0.235491E+0008
0.205373E+0009,0.237055E+0008
0.205356E+0009,0.238619E+0008
0.205340E+0009,0.240182E+0008
0.205323E+0009,0.241745E+0008
0.205306E+0009,0.243308E+0008
0.205289E+0009,0.244871E+0008
0.205272E+0009,0.246434E+0008
0.205255E+0009,0.247997E+0008
0.205237E+0009,0.249560E+0008
0.205220E+0009,0.251122E+0008
0.205202E+0009,0.252684E+0008
0.205185E+0009,0.254247E+0008
0.205167E+0009,0.255809E+0008
0.205149E+0009,0.257371E+0008
0.205131E+0009,0.258932E+0008
0.205113E+0009,0.260494E+0008
0.205095E+0009,0.262056E+0008
0.205077E+0009,0.263617E+0008
0.205058E+0009,0.265178E+0008
0.205040E+0009,0.266739E+0008
0.205021E+0009,0.268300E+0008
0.205002E+0009,0.269861E+0008
0.204984E+0009,0.271422E+0008
0.204965E+0009,0.272982E+0008
0.204946E+0009,0.274543E+0008
0.204926E+0009,0.276103E+0008
0.204907E+0009,0.277663E+0008
0.204888E+0009,0.279223E+0008
0.204868E+0009,0.280783E+0008
0.204849E+0009,0.282343E+0008
0.204829E+0009,0.283902E+0008
0.204809E+0009,0.285462E+0008
0.204789E+0009,0.287021E+0008
0.204769E+0009,0.288580E+0008
0.204749E+0009,0.290139E+0008
0.204729E+0009,0.291698E+0008
0.204709E+0009,0.293256E+0008
0.204688E+0009,0.294815E+0008
0.204668E+0009,0.296373E+0008
0.204647E+0009,0.297931E+0008
0.204626E+0009,0.299489E+0008
0.204605E+0009,0.301047E+0008
0.204584E+0009,0.302604E+0008
0.204563E+0009,0.304162E+0008
0.204542E+0009,0.305719E+0008
0.204521E+0009,0.307277E+0008
0.204499E+0009,0.308834E+0008
0.204478E+0009,0.310390E+0008
0.204456E+0009,0.311947E+0008
0.204434E+0009,0.313504E+0008
0.204412E+0009,0.315060E+0008
0.204390E+0009,0.316616E+0008
0.204368E+0009,0.318172E+0008
