X,Y
0.444445E+0010,0.00000
0.444445E+0010,0.286047E+0007
0.444445E+0010,0.572093E+0007
0.444444E+0010,0.858140E+0007
0.444444E+0010,0.114419E+0008
0.444443E+0010,0.143023E+0008
0.444442E+0010,0.171628E+0008
0.444441E+0010,0.200232E+0008
0.444439E+0010,0.228836E+0008
0.444438E+0010,0.257441E+0008
0.444436E+0010,0.286045E+0008
0.444434E+0010,0.314649E+0008
0.444432E+0010,0.343253E+0008
0.444430E+0010,0.371856E+0008
0.444427E+0010,0.400460E+0008
0.444425E+0010,0.429064E+0008
0.444422E+0010,0.457667E+0008
0.444419E+0010,0.486270E+0008
0.444416E+0010,0.514873E+0008
0.444412E+0010,0.543475E+0008
0.444409E+0010,0.572078E+0008
0.444405E+0010,0.600680E+0008
0.444401E+0010,0.629282E+0008
0.444397E+0010,0.657884E+0008
0.444393E+0010,0.686485E+0008
0.444388E+0010,0.715086E+0008
0.444384E+0010,0.743687E+0008
0.444379E+0010,0.772288E+0008
0.444374E+0010,0.800888E+0008
0.444369E+0010,0.829488E+0008
0.444363E+0010,0.858088E+0008
0.444358E+0010,0.886687E+0008
0.444352E+0010,0.915286E+0008
0.444346E+0010,0.943884E+0008
0.444340E+0010,0.972482E+0008
0.444334E+0010,0.100108E+0009
0.444327E+0010,0.102968E+0009
0.444321E+0010,0.105827E+0009
0.444314E+0010,0.108687E+0009
0.444307E+0010,0.111547E+0009
0.444300E+0010,0.114406E+0009
0.444292E+0010,0.117266E+0009
0.444285E+0010,0.120125E+0009
0.444277E+0010,0.122985E+0009
0.444269E+0010,0.125844E+0009
0.444261E+0010,0.128703E+0009
0.444253E+0010,0.131563E+0009
0.444244E+0010,0.134422E+0009
0.444236E+0010,0.137281E+0009
0.444227E+0010,0.140140E+0009
0.444218E+0010,0.142999E+0009
0.444209E+0010,0.145858E+0009
0.444199E+0010,0.148717E+0009
0.444190E+0010,0.151576E+0009
0.444180E+0010,0.154435E+0009
0.444170E+0010,0.157293E+0009
0.444160E+0010,0.160152E+0009
0.444150E+0010,0.163011E+0009
0.444139E+0010,0.165869E+0009
0.444129E+0010,0.168728E+0009
0.444118E+0010,0.171586E+0009
0.444107E+0010,0.174444E+0009
0.444096E+0010,0.177303E+0009
0.444084E+0010,0.180161E+0009
0.444073E+0010,0.183019E+0009
0.444061E+0010,0.185877E+0009
0.444049E+0010,0.188735E+0009
0.444037E+0010,0.191593E+0009
0.444025E+0010,0.194451E+0009
0.444012E+0010,0.197308E+0009
0.444000E+0010,0.200166E+0009
0.443987E+0010,0.203023E+0009
