X,Y
0.135255E+0010,0.00000
0.135255E+0010,946424.
0.135255E+0010,0.189285E+0007
0.135255E+0010,0.283927E+0007
0.135254E+0010,0.378569E+0007
0.135254E+0010,0.473211E+0007
0.135254E+0010,0.567853E+0007
0.135253E+0010,0.662494E+0007
0.135253E+0010,0.757136E+0007
0.135252E+0010,0.851776E+0007
0.135252E+0010,0.946417E+0007
0.135251E+0010,0.104106E+0008
0.135250E+0010,0.113570E+0008
0.135250E+0010,0.123034E+0008
0.135249E+0010,0.132497E+0008
0.135248E+0010,0.141961E+0008
0.135247E+0010,0.151425E+0008
0.135246E+0010,0.160888E+0008
0.135245E+0010,0.170352E+0008
0.135244E+0010,0.179816E+0008
0.135242E+0010,0.189279E+0008
0.135241E+0010,0.198742E+0008
0.135240E+0010,0.208206E+0008
0.135238E+0010,0.217669E+0008
0.135237E+0010,0.227132E+0008
0.135235E+0010,0.236595E+0008
0.135234E+0010,0.246057E+0008
0.135232E+0010,0.255520E+0008
0.135230E+0010,0.264983E+0008
0.135229E+0010,0.274445E+0008
0.135227E+0010,0.283907E+0008
0.135225E+0010,0.293370E+0008
0.135223E+0010,0.302832E+0008
0.135221E+0010,0.312294E+0008
0.135219E+0010,0.321755E+0008
0.135217E+0010,0.331217E+0008
0.135214E+0010,0.340679E+0008
0.135212E+0010,0.350140E+0008
0.135210E+0010,0.359601E+0008
0.135207E+0010,0.369062E+0008
0.135205E+0010,0.378523E+0008
0.135202E+0010,0.387983E+0008
0.135200E+0010,0.397444E+0008
0.135197E+0010,0.406904E+0008
0.135194E+0010,0.416364E+0008
0.135192E+0010,0.425824E+0008
0.135189E+0010,0.435284E+0008
0.135186E+0010,0.444743E+0008
0.135183E+0010,0.454203E+0008
0.135180E+0010,0.463662E+0008
0.135177E+0010,0.473121E+0008
0.135173E+0010,0.482579E+0008
0.135170E+0010,0.492038E+0008
0.135167E+0010,0.501496E+0008
0.135164E+0010,0.510954E+0008
0.135160E+0010,0.520412E+0008
0.135157E+0010,0.529869E+0008
0.135153E+0010,0.539326E+0008
0.135150E+0010,0.548783E+0008
0.135146E+0010,0.558240E+0008
0.135142E+0010,0.567697E+0008
0.135138E+0010,0.577153E+0008
0.135135E+0010,0.586609E+0008
0.135131E+0010,0.596064E+0008
0.135127E+0010,0.605520E+0008
0.135123E+0010,0.614975E+0008
0.135118E+0010,0.624430E+0008
0.135114E+0010,0.633884E+0008
0.135110E+0010,0.643338E+0008
0.135106E+0010,0.652792E+0008
0.135101E+0010,0.662246E+0008
0.135097E+0010,0.671699E+0008
0.135093E+0010,0.681152E+0008
0.135088E+0010,0.690605E+0008
0.135083E+0010,0.700058E+0008
0.135079E+0010,0.709510E+0008
0.135074E+0010,0.718961E+0008
0.135069E+0010,0.728413E+0008
0.135064E+0010,0.737864E+0008
0.135059E+0010,0.747315E+0008
0.135054E+0010,0.756765E+0008
0.135049E+0010,0.766215E+0008
0.135044E+0010,0.775665E+0008
0.135039E+0010,0.785114E+0008
0.135034E+0010,0.794563E+0008
0.135029E+0010,0.804011E+0008
0.135023E+0010,0.813460E+0008
0.135018E+0010,0.822908E+0008
0.135012E+0010,0.832355E+0008
0.135007E+0010,0.841802E+0008
0.135001E+0010,0.851249E+0008
0.134995E+0010,0.860695E+0008
0.134990E+0010,0.870141E+0008
0.134984E+0010,0.879586E+0008
0.134978E+0010,0.889031E+0008
0.134972E+0010,0.898476E+0008
0.134966E+0010,0.907920E+0008
0.134960E+0010,0.917364E+0008
0.134954E+0010,0.926808E+0008
0.134948E+0010,0.936251E+0008
0.134942E+0010,0.945693E+0008
0.134935E+0010,0.955135E+0008
0.134929E+0010,0.964577E+0008
0.134923E+0010,0.974018E+0008
0.134916E+0010,0.983459E+0008
0.134910E+0010,0.992899E+0008
0.134903E+0010,0.100234E+0009
0.134896E+0010,0.101178E+0009
0.134890E+0010,0.102122E+0009
0.134883E+0010,0.103066E+0009
0.134876E+0010,0.104009E+0009
0.134869E+0010,0.104953E+0009
0.134862E+0010,0.105897E+0009
0.134855E+0010,0.106840E+0009
0.134848E+0010,0.107784E+0009
0.134841E+0010,0.108728E+0009
0.134833E+0010,0.109671E+0009
0.134826E+0010,0.110615E+0009
0.134819E+0010,0.111558E+0009
0.134811E+0010,0.112501E+0009
0.134804E+0010,0.113445E+0009
0.134796E+0010,0.114388E+0009
0.134789E+0010,0.115331E+0009
0.134781E+0010,0.116274E+0009
0.134773E+0010,0.117217E+0009
0.134765E+0010,0.118160E+0009
0.134758E+0010,0.119103E+0009
0.134750E+0010,0.120046E+0009
0.134742E+0010,0.120989E+0009
0.134734E+0010,0.121932E+0009
0.134726E+0010,0.122875E+0009
0.134717E+0010,0.123817E+0009
0.134709E+0010,0.124760E+0009
0.134701E+0010,0.125702E+0009
0.134693E+0010,0.126645E+0009
0.134684E+0010,0.127587E+0009
0.134676E+0010,0.128530E+0009
0.134667E+0010,0.129472E+0009
0.134658E+0010,0.130414E+0009
0.134650E+0010,0.131357E+0009
0.134641E+0010,0.132299E+0009
0.134632E+0010,0.133241E+0009
0.134623E+0010,0.134183E+0009
0.134614E+0010,0.135125E+0009
0.134606E+0010,0.136067E+0009
0.134596E+0010,0.137009E+0009
0.134587E+0010,0.137951E+0009
0.134578E+0010,0.138892E+0009
0.134569E+0010,0.139834E+0009
0.134560E+0010,0.140775E+0009
0.134550E+0010,0.141717E+0009
0.134541E+0010,0.142658E+0009
0.134531E+0010,0.143600E+0009
0.134522E+0010,0.144541E+0009
0.134512E+0010,0.145482E+0009
0.134503E+0010,0.146424E+0009
0.134493E+0010,0.147365E+0009
0.134483E+0010,0.148306E+0009
0.134473E+0010,0.149247E+0009
0.134463E+0010,0.150188E+0009
0.134453E+0010,0.151129E+0009
0.134443E+0010,0.152069E+0009
0.134433E+0010,0.153010E+0009
0.134423E+0010,0.153951E+0009
0.134413E+0010,0.154891E+0009
0.134403E+0010,0.155832E+0009
0.134392E+0010,0.156772E+0009
0.134382E+0010,0.157713E+0009
0.134371E+0010,0.158653E+0009
0.134361E+0010,0.159593E+0009
0.134350E+0010,0.160533E+0009
0.134339E+0010,0.161473E+0009
0.134329E+0010,0.162413E+0009
0.134318E+0010,0.163353E+0009
0.134307E+0010,0.164293E+0009
0.134296E+0010,0.165233E+0009
0.134285E+0010,0.166172E+0009
0.134274E+0010,0.167112E+0009
0.134263E+0010,0.168052E+0009
0.134252E+0010,0.168991E+0009
0.134241E+0010,0.169930E+0009
0.134229E+0010,0.170870E+0009
0.134218E+0010,0.171809E+0009
0.134207E+0010,0.172748E+0009
0.134195E+0010,0.173687E+0009
0.134184E+0010,0.174626E+0009
0.134172E+0010,0.175565E+0009
0.134160E+0010,0.176504E+0009
0.134149E+0010,0.177442E+0009
0.134137E+0010,0.178381E+0009
0.134125E+0010,0.179320E+0009
0.134113E+0010,0.180258E+0009
0.134101E+0010,0.181197E+0009
0.134089E+0010,0.182135E+0009
0.134077E+0010,0.183073E+0009
0.134065E+0010,0.184011E+0009
0.134053E+0010,0.184949E+0009
0.134040E+0010,0.185887E+0009
0.134028E+0010,0.186825E+0009
0.134016E+0010,0.187763E+0009
0.134003E+0010,0.188701E+0009
0.133991E+0010,0.189638E+0009
0.133978E+0010,0.190576E+0009
0.133965E+0010,0.191513E+0009
0.133953E+0010,0.192451E+0009
0.133940E+0010,0.193388E+0009
0.133927E+0010,0.194325E+0009
0.133914E+0010,0.195262E+0009
0.133901E+0010,0.196199E+0009
0.133888E+0010,0.197136E+0009
0.133875E+0010,0.198073E+0009
0.133862E+0010,0.199010E+0009
0.133849E+0010,0.199946E+0009
0.133836E+0010,0.200883E+0009
0.133822E+0010,0.201819E+0009
0.133809E+0010,0.202756E+0009
0.133795E+0010,0.203692E+0009
0.133782E+0010,0.204628E+0009
0.133768E+0010,0.205564E+0009
0.133755E+0010,0.206500E+0009
0.133741E+0010,0.207436E+0009
0.133727E+0010,0.208372E+0009
0.133713E+0010,0.209307E+0009
0.133699E+0010,0.210243E+0009
0.133685E+0010,0.211179E+0009
0.133671E+0010,0.212114E+0009
0.133657E+0010,0.213049E+0009
0.133643E+0010,0.213984E+0009
0.133629E+0010,0.214920E+0009
0.133615E+0010,0.215855E+0009
0.133600E+0010,0.216789E+0009
0.133586E+0010,0.217724E+0009
0.133572E+0010,0.218659E+0009
0.133557E+0010,0.219594E+0009
0.133543E+0010,0.220528E+0009
0.133528E+0010,0.221462E+0009
0.133513E+0010,0.222397E+0009
0.133499E+0010,0.223331E+0009
0.133484E+0010,0.224265E+0009
0.133469E+0010,0.225199E+0009
0.133454E+0010,0.226133E+0009
0.133439E+0010,0.227067E+0009
0.133424E+0010,0.228000E+0009
0.133409E+0010,0.228934E+0009
0.133393E+0010,0.229867E+0009
0.133378E+0010,0.230801E+0009
0.133363E+0010,0.231734E+0009
0.133348E+0010,0.232667E+0009
0.133332E+0010,0.233600E+0009
0.133317E+0010,0.234533E+0009
0.133301E+0010,0.235466E+0009
0.133285E+0010,0.236399E+0009
0.133270E+0010,0.237331E+0009
0.133254E+0010,0.238264E+0009
0.133238E+0010,0.239196E+0009
0.133222E+0010,0.240128E+0009
0.133206E+0010,0.241061E+0009
0.133190E+0010,0.241993E+0009
0.133174E+0010,0.242925E+0009
0.133158E+0010,0.243856E+0009
0.133142E+0010,0.244788E+0009
0.133126E+0010,0.245720E+0009
0.133110E+0010,0.246651E+0009
0.133093E+0010,0.247582E+0009
0.133077E+0010,0.248514E+0009
0.133060E+0010,0.249445E+0009
0.133044E+0010,0.250376E+0009
0.133027E+0010,0.251307E+0009
0.133011E+0010,0.252238E+0009
0.132994E+0010,0.253168E+0009
0.132977E+0010,0.254099E+0009
0.132960E+0010,0.255029E+0009
0.132943E+0010,0.255960E+0009
0.132926E+0010,0.256890E+0009
0.132909E+0010,0.257820E+0009
0.132892E+0010,0.258750E+0009
0.132875E+0010,0.259680E+0009
0.132858E+0010,0.260609E+0009
0.132841E+0010,0.261539E+0009
0.132823E+0010,0.262469E+0009
0.132806E+0010,0.263398E+0009
0.132788E+0010,0.264327E+0009
0.132771E+0010,0.265256E+0009
0.132753E+0010,0.266185E+0009
0.132736E+0010,0.267114E+0009
0.132718E+0010,0.268043E+0009
0.132700E+0010,0.268972E+0009
0.132682E+0010,0.269900E+0009
