X,Y
0.274130E+0010,0.00000
0.274130E+0010,0.188520E+0007
0.274130E+0010,0.377041E+0007
0.274129E+0010,0.565561E+0007
0.274129E+0010,0.754081E+0007
0.274128E+0010,0.942601E+0007
0.274128E+0010,0.113112E+0008
0.274127E+0010,0.131964E+0008
0.274126E+0010,0.150816E+0008
0.274125E+0010,0.169667E+0008
0.274124E+0010,0.188519E+0008
0.274122E+0010,0.207371E+0008
0.274121E+0010,0.226222E+0008
0.274120E+0010,0.245074E+0008
0.274118E+0010,0.263925E+0008
0.274116E+0010,0.282776E+0008
0.274114E+0010,0.301627E+0008
0.274112E+0010,0.320478E+0008
0.274110E+0010,0.339329E+0008
0.274108E+0010,0.358179E+0008
0.274105E+0010,0.377030E+0008
0.274103E+0010,0.395880E+0008
0.274100E+0010,0.414730E+0008
0.274097E+0010,0.433580E+0008
0.274094E+0010,0.452430E+0008
0.274091E+0010,0.471279E+0008
0.274088E+0010,0.490128E+0008
0.274085E+0010,0.508977E+0008
0.274081E+0010,0.527826E+0008
0.274078E+0010,0.546675E+0008
0.274074E+0010,0.565523E+0008
0.274070E+0010,0.584371E+0008
0.274066E+0010,0.603219E+0008
0.274062E+0010,0.622067E+0008
0.274058E+0010,0.640914E+0008
0.274054E+0010,0.659761E+0008
0.274050E+0010,0.678607E+0008
0.274045E+0010,0.697454E+0008
0.274040E+0010,0.716300E+0008
0.274036E+0010,0.735146E+0008
0.274031E+0010,0.753991E+0008
0.274026E+0010,0.772836E+0008
0.274021E+0010,0.791681E+0008
0.274015E+0010,0.810525E+0008
0.274010E+0010,0.829369E+0008
0.274004E+0010,0.848213E+0008
0.273999E+0010,0.867056E+0008
0.273993E+0010,0.885899E+0008
0.273987E+0010,0.904741E+0008
0.273981E+0010,0.923583E+0008
0.273975E+0010,0.942425E+0008
0.273969E+0010,0.961266E+0008
0.273962E+0010,0.980107E+0008
0.273956E+0010,0.998947E+0008
0.273949E+0010,0.101779E+0009
0.273942E+0010,0.103663E+0009
0.273935E+0010,0.105546E+0009
0.273928E+0010,0.107430E+0009
0.273921E+0010,0.109314E+0009
0.273914E+0010,0.111198E+0009
0.273907E+0010,0.113082E+0009
0.273899E+0010,0.114965E+0009
0.273891E+0010,0.116849E+0009
0.273884E+0010,0.118732E+0009
0.273876E+0010,0.120616E+0009
0.273868E+0010,0.122499E+0009
0.273860E+0010,0.124383E+0009
0.273851E+0010,0.126266E+0009
0.273843E+0010,0.128149E+0009
0.273835E+0010,0.130032E+0009
0.273826E+0010,0.131916E+0009
0.273817E+0010,0.133799E+0009
0.273808E+0010,0.135682E+0009
0.273799E+0010,0.137565E+0009
0.273790E+0010,0.139448E+0009
0.273781E+0010,0.141330E+0009
0.273772E+0010,0.143213E+0009
0.273762E+0010,0.145096E+0009
0.273752E+0010,0.146978E+0009
0.273743E+0010,0.148861E+0009
0.273733E+0010,0.150744E+0009
0.273723E+0010,0.152626E+0009
0.273713E+0010,0.154508E+0009
0.273702E+0010,0.156391E+0009
0.273692E+0010,0.158273E+0009
0.273682E+0010,0.160155E+0009
0.273671E+0010,0.162037E+0009
0.273660E+0010,0.163919E+0009
0.273649E+0010,0.165801E+0009
0.273638E+0010,0.167683E+0009
0.273627E+0010,0.169565E+0009
0.273616E+0010,0.171446E+0009
0.273605E+0010,0.173328E+0009
0.273593E+0010,0.175210E+0009
0.273582E+0010,0.177091E+0009
0.273570E+0010,0.178973E+0009
0.273558E+0010,0.180854E+0009
0.273546E+0010,0.182735E+0009
0.273534E+0010,0.184616E+0009
0.273522E+0010,0.186497E+0009
0.273509E+0010,0.188378E+0009
0.273497E+0010,0.190259E+0009
0.273484E+0010,0.192140E+0009
0.273472E+0010,0.194021E+0009
0.273459E+0010,0.195901E+0009
0.273446E+0010,0.197782E+0009
0.273433E+0010,0.199662E+0009
0.273420E+0010,0.201543E+0009
0.273406E+0010,0.203423E+0009
0.273393E+0010,0.205303E+0009
0.273379E+0010,0.207183E+0009
0.273366E+0010,0.209063E+0009
0.273352E+0010,0.210943E+0009
0.273338E+0010,0.212823E+0009
0.273324E+0010,0.214703E+0009
0.273309E+0010,0.216582E+0009
0.273295E+0010,0.218462E+0009
0.273281E+0010,0.220341E+0009
0.273266E+0010,0.222220E+0009
0.273251E+0010,0.224100E+0009
0.273237E+0010,0.225979E+0009
0.273222E+0010,0.227858E+0009
0.273207E+0010,0.229737E+0009
0.273191E+0010,0.231616E+0009
0.273176E+0010,0.233494E+0009
0.273161E+0010,0.235373E+0009
0.273145E+0010,0.237251E+0009
0.273129E+0010,0.239130E+0009
0.273114E+0010,0.241008E+0009
0.273098E+0010,0.242886E+0009
0.273082E+0010,0.244764E+0009
0.273065E+0010,0.246642E+0009
0.273049E+0010,0.248520E+0009
0.273033E+0010,0.250398E+0009
0.273016E+0010,0.252275E+0009
0.272999E+0010,0.254153E+0009
0.272983E+0010,0.256030E+0009
0.272966E+0010,0.257907E+0009
0.272949E+0010,0.259785E+0009
0.272932E+0010,0.261662E+0009
0.272914E+0010,0.263538E+0009
0.272897E+0010,0.265415E+0009
0.272879E+0010,0.267292E+0009
0.272862E+0010,0.269168E+0009
