X,Y
0.107480E+0009,0.00000
0.107480E+0009,68461.2
0.107480E+0009,136922.
0.107480E+0009,205383.
0.107480E+0009,273845.
0.107479E+0009,342305.
0.107479E+0009,410766.
0.107479E+0009,479227.
0.107479E+0009,547687.
0.107478E+0009,616147.
0.107478E+0009,684607.
0.107477E+0009,753067.
0.107477E+0009,821526.
0.107476E+0009,889986.
0.107476E+0009,958444.
0.107475E+0009,0.102690E+0007
0.107474E+0009,0.109536E+0007
0.107474E+0009,0.116382E+0007
0.107473E+0009,0.123227E+0007
0.107472E+0009,0.130073E+0007
0.107471E+0009,0.136919E+0007
0.107470E+0009,0.143764E+0007
0.107470E+0009,0.150610E+0007
0.107469E+0009,0.157455E+0007
0.107468E+0009,0.164301E+0007
0.107466E+0009,0.171146E+0007
0.107465E+0009,0.177991E+0007
0.107464E+0009,0.184836E+0007
0.107463E+0009,0.191681E+0007
0.107462E+0009,0.198526E+0007
0.107461E+0009,0.205371E+0007
0.107459E+0009,0.212216E+0007
0.107458E+0009,0.219061E+0007
0.107456E+0009,0.225905E+0007
0.107455E+0009,0.232750E+0007
0.107453E+0009,0.239594E+0007
0.107452E+0009,0.246439E+0007
0.107450E+0009,0.253283E+0007
0.107449E+0009,0.260127E+0007
0.107447E+0009,0.266971E+0007
0.107445E+0009,0.273815E+0007
0.107444E+0009,0.280659E+0007
0.107442E+0009,0.287503E+0007
0.107440E+0009,0.294347E+0007
0.107438E+0009,0.301190E+0007
0.107436E+0009,0.308034E+0007
0.107434E+0009,0.314877E+0007
0.107432E+0009,0.321720E+0007
0.107430E+0009,0.328563E+0007
0.107428E+0009,0.335406E+0007
0.107426E+0009,0.342249E+0007
0.107424E+0009,0.349091E+0007
0.107421E+0009,0.355934E+0007
0.107419E+0009,0.362776E+0007
0.107417E+0009,0.369618E+0007
0.107415E+0009,0.376460E+0007
0.107412E+0009,0.383302E+0007
0.107410E+0009,0.390144E+0007
0.107407E+0009,0.396985E+0007
0.107405E+0009,0.403827E+0007
0.107402E+0009,0.410668E+0007
0.107399E+0009,0.417509E+0007
0.107397E+0009,0.424350E+0007
0.107394E+0009,0.431191E+0007
0.107391E+0009,0.438031E+0007
0.107389E+0009,0.444872E+0007
0.107386E+0009,0.451712E+0007
0.107383E+0009,0.458552E+0007
0.107380E+0009,0.465392E+0007
0.107377E+0009,0.472231E+0007
0.107374E+0009,0.479071E+0007
0.107371E+0009,0.485910E+0007
0.107368E+0009,0.492749E+0007
0.107365E+0009,0.499588E+0007
0.107361E+0009,0.506427E+0007
0.107358E+0009,0.513265E+0007
0.107355E+0009,0.520103E+0007
0.107352E+0009,0.526941E+0007
0.107348E+0009,0.533779E+0007
0.107345E+0009,0.540617E+0007
0.107341E+0009,0.547454E+0007
0.107338E+0009,0.554291E+0007
0.107334E+0009,0.561128E+0007
0.107331E+0009,0.567965E+0007
0.107327E+0009,0.574802E+0007
0.107324E+0009,0.581638E+0007
0.107320E+0009,0.588474E+0007
0.107316E+0009,0.595310E+0007
0.107312E+0009,0.602145E+0007
0.107309E+0009,0.608981E+0007
0.107305E+0009,0.615816E+0007
0.107301E+0009,0.622651E+0007
0.107297E+0009,0.629485E+0007
0.107293E+0009,0.636319E+0007
0.107289E+0009,0.643153E+0007
0.107285E+0009,0.649987E+0007
0.107280E+0009,0.656821E+0007
0.107276E+0009,0.663654E+0007
0.107272E+0009,0.670487E+0007
0.107268E+0009,0.677320E+0007
0.107264E+0009,0.684152E+0007
0.107259E+0009,0.690985E+0007
0.107255E+0009,0.697816E+0007
0.107250E+0009,0.704648E+0007
0.107246E+0009,0.711479E+0007
0.107241E+0009,0.718310E+0007
0.107237E+0009,0.725141E+0007
0.107232E+0009,0.731972E+0007
0.107228E+0009,0.738802E+0007
0.107223E+0009,0.745632E+0007
0.107218E+0009,0.752461E+0007
0.107213E+0009,0.759291E+0007
0.107208E+0009,0.766120E+0007
0.107204E+0009,0.772948E+0007
0.107199E+0009,0.779777E+0007
0.107194E+0009,0.786605E+0007
0.107189E+0009,0.793432E+0007
0.107184E+0009,0.800260E+0007
0.107179E+0009,0.807087E+0007
0.107173E+0009,0.813914E+0007
0.107168E+0009,0.820740E+0007
0.107163E+0009,0.827566E+0007
0.107158E+0009,0.834392E+0007
0.107153E+0009,0.841217E+0007
0.107147E+0009,0.848043E+0007
0.107142E+0009,0.854867E+0007
0.107136E+0009,0.861692E+0007
0.107131E+0009,0.868516E+0007
0.107125E+0009,0.875339E+0007
0.107120E+0009,0.882163E+0007
0.107114E+0009,0.888986E+0007
0.107109E+0009,0.895808E+0007
0.107103E+0009,0.902631E+0007
0.107097E+0009,0.909453E+0007
0.107091E+0009,0.916274E+0007
0.107086E+0009,0.923095E+0007
0.107080E+0009,0.929916E+0007
0.107074E+0009,0.936737E+0007
0.107068E+0009,0.943557E+0007
0.107062E+0009,0.950376E+0007
0.107056E+0009,0.957196E+0007
0.107050E+0009,0.964015E+0007
0.107044E+0009,0.970833E+0007
0.107037E+0009,0.977651E+0007
0.107031E+0009,0.984469E+0007
0.107025E+0009,0.991286E+0007
0.107019E+0009,0.998103E+0007
0.107012E+0009,0.100492E+0008
0.107006E+0009,0.101174E+0008
0.107000E+0009,0.101855E+0008
0.106993E+0009,0.102537E+0008
0.106987E+0009,0.103218E+0008
0.106980E+0009,0.103900E+0008
0.106973E+0009,0.104581E+0008
0.106967E+0009,0.105262E+0008
0.106960E+0009,0.105944E+0008
0.106953E+0009,0.106625E+0008
0.106947E+0009,0.107306E+0008
0.106940E+0009,0.107987E+0008
0.106933E+0009,0.108669E+0008
0.106926E+0009,0.109350E+0008
0.106919E+0009,0.110031E+0008
0.106912E+0009,0.110712E+0008
0.106905E+0009,0.111393E+0008
0.106898E+0009,0.112074E+0008
0.106891E+0009,0.112755E+0008
0.106884E+0009,0.113435E+0008
0.106877E+0009,0.114116E+0008
0.106869E+0009,0.114797E+0008
0.106862E+0009,0.115478E+0008
0.106855E+0009,0.116158E+0008
