mercury,Y,Venus,Y,Earth,Y,Mars,Y
4.60E+07,0,1.07E+08,0,1.47E+08,0,2.07E+08,0
4.60E+07,44832.9,1.07E+08,68461.2,1.47E+08,95599.1,2.07E+08,157307
4.60E+07,89665.7,1.07E+08,136922,1.47E+08,191198,2.07E+08,314613
4.60E+07,134498,1.07E+08,205383,1.47E+08,286797,2.07E+08,471920
4.60E+07,179331,1.07E+08,273845,1.47E+08,382396,2.07E+08,629226
4.60E+07,224164,1.07E+08,342305,1.47E+08,477995,2.07E+08,786532
4.60E+07,268996,1.07E+08,410766,1.47E+08,573593,2.07E+08,943837
4.60E+07,313828,1.07E+08,479227,1.47E+08,669191,2.07E+08,1.10E+06
4.60E+07,358660,1.07E+08,547687,1.47E+08,764789,2.07E+08,1.26E+06
4.60E+07,403492,1.07E+08,616147,1.47E+08,860387,2.07E+08,1.42E+06
4.60E+07,448323,1.07E+08,684607,1.47E+08,955984,2.07E+08,1.57E+06
4.60E+07,493154,1.07E+08,753067,1.47E+08,1.05E+06,2.07E+08,1.73E+06
4.60E+07,537984,1.07E+08,821526,1.47E+08,1.15E+06,2.07E+08,1.89E+06
4.60E+07,582814,1.07E+08,889986,1.47E+08,1.24E+06,2.07E+08,2.04E+06
4.60E+07,627644,1.07E+08,958444,1.47E+08,1.34E+06,2.07E+08,2.20E+06
4.60E+07,672473,1.07E+08,1.03E+06,1.47E+08,1.43E+06,2.07E+08,2.36E+06
4.60E+07,717302,1.07E+08,1.10E+06,1.47E+08,1.53E+06,2.07E+08,2.52E+06
4.60E+07,762130,1.07E+08,1.16E+06,1.47E+08,1.63E+06,2.07E+08,2.67E+06
4.60E+07,806957,1.07E+08,1.23E+06,1.47E+08,1.72E+06,2.07E+08,2.83E+06
4.60E+07,851784,1.07E+08,1.30E+06,1.47E+08,1.82E+06,2.07E+08,2.99E+06
4.60E+07,896610,1.07E+08,1.37E+06,1.47E+08,1.91E+06,2.07E+08,3.15E+06
4.60E+07,941436,1.07E+08,1.44E+06,1.47E+08,2.01E+06,2.07E+08,3.30E+06
4.60E+07,986261,1.07E+08,1.51E+06,1.47E+08,2.10E+06,2.07E+08,3.46E+06
