X,Y
0.460000E+0008,0.00000
0.460000E+0008,44832.9
0.459999E+0008,89665.7
0.459998E+0008,134498.
0.459997E+0008,179331.
0.459995E+0008,224164.
0.459993E+0008,268996.
0.459991E+0008,313828.
0.459988E+0008,358660.
0.459985E+0008,403492.
0.459982E+0008,448323.
0.459978E+0008,493154.
0.459974E+0008,537984.
0.459969E+0008,582814.
0.459964E+0008,627644.
0.459959E+0008,672473.
0.459954E+0008,717302.
0.459948E+0008,762130.
0.459941E+0008,806957.
0.459935E+0008,851784.
0.459928E+0008,896610.
0.459920E+0008,941436.
0.459912E+0008,986261.
0.459904E+0008,0.103108E+0007
0.459896E+0008,0.107591E+0007
0.459887E+0008,0.112073E+0007
0.459878E+0008,0.116555E+0007
0.459868E+0008,0.121037E+0007
0.459858E+0008,0.125519E+0007
0.459848E+0008,0.130001E+0007
0.459837E+0008,0.134483E+0007
0.459826E+0008,0.138964E+0007
0.459814E+0008,0.143446E+0007
0.459803E+0008,0.147927E+0007
0.459791E+0008,0.152409E+0007
0.459778E+0008,0.156890E+0007
0.459765E+0008,0.161371E+0007
0.459752E+0008,0.165852E+0007
0.459738E+0008,0.170333E+0007
0.459724E+0008,0.174813E+0007
0.459710E+0008,0.179294E+0007
0.459695E+0008,0.183774E+0007
0.459680E+0008,0.188254E+0007
0.459665E+0008,0.192735E+0007
0.459649E+0008,0.197215E+0007
0.459633E+0008,0.201694E+0007
0.459617E+0008,0.206174E+0007
0.459600E+0008,0.210653E+0007
0.459583E+0008,0.215133E+0007
0.459565E+0008,0.219612E+0007
0.459547E+0008,0.224091E+0007
0.459529E+0008,0.228570E+0007
0.459510E+0008,0.233048E+0007
0.459491E+0008,0.237527E+0007
0.459472E+0008,0.242005E+0007
0.459452E+0008,0.246483E+0007
0.459432E+0008,0.250961E+0007
0.459411E+0008,0.255438E+0007
0.459391E+0008,0.259916E+0007
0.459369E+0008,0.264393E+0007
0.459348E+0008,0.268870E+0007
0.459326E+0008,0.273347E+0007
